"First author","Study accession","Publication date",Journal,Title,"Reported trait",Trait(s),"Background trait(s)","Discovery sample number and ancestry","Replication sample number and ancestry","Association count","Summary statistics"
"Zabaneh D",GCST005626,2017-07-04,"Mol Psychiatry","A genome-wide association study for extremely high intelligence.","Extremely high intelligence",intelligence,'-,"9410 European",'-,1,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
"Coleman JRI",GCST007044,2018-03-08,"Mol Psychiatry","Biological annotation of genetic loci associated with intelligence in a meta-analysis of 87,740 individuals.","Extremely high intelligence",intelligence,'-,"87740 European",'-,25,"FTP Download"
"Loo SK",GCST001428,2012-02-28,"J Am Acad Child Adolesc Psychiatry","Genome-wide association study of intelligence: additive effects of novel brain expressed genes.",Intelligence,intelligence,'-,"656 European",'-,21,NA
"Davis OS",GCST000634,2010-03-21,"Behav Genet","A three-stage genome-wide association study of general cognitive ability: hunting the small effects.","Cognitive ability",intelligence,'-,"860 European","2619 European",0,NA
"Benyamin B",GCST001837,2013-01-29,"Mol Psychiatry","Childhood intelligence is heritable, highly polygenic and associated with FNBP1L.","Intelligence (childhood)",intelligence,'-,"12441 European","5548 European",6,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
"Davies G",GCST001195,2011-08-09,"Mol Psychiatry","Genome-wide association studies establish that human intelligence is highly heritable and polygenic.",Intelligence,intelligence,'-,"3511 European","670 European",0,NA
"Howard DM",GCST008861,2017-08-10,"Wellcome Open Res","Haplotype-based association analysis of general cognitive ability in Generation Scotland, the English Longitudinal Study of Ageing, and UK Biobank.","General cognitive ability",intelligence,'-,"19326 European","28676 European",0,NA
"Savage JE",GCST006250,2018-06-25,"Nat Genet","Genome-wide association meta-analysis in 269,867 individuals identifies new genetic and functional links to intelligence.",Intelligence,intelligence,'-,"269867 European",'-,524,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
"Richards AL",GCST008387,2019-06-17,"Schizophr Bull (Bp)","The Relationship Between Polygenic Risk Scores and Cognition in Schizophrenia.","Cognitive ability in schizophrenia",intelligence,schizophrenia,"3034 European",'-,3,NA
"Butcher LM",GCST000145,2008-01-22,"Genes Brain Behav","Genome-wide quantitative trait locus association scan of general cognitive ability using pooled DNA and 500K single nucleotide polymorphism microarrays.","General cognitive ability",intelligence,'-,"860 European","3195 European",0,NA
"Kirkpatrick RM",GCST002694,2014-11-10,"PLoS One","Results of a ""GWAS plus:"" general cognitive ability is substantially heritable and massively polygenic.","General cognitive ability",intelligence,'-,"7100 European",'-,3,NA
"Trampush JW",GCST004077,2017-01-17,"Mol Psychiatry","GWAS meta-analysis reveals novel loci and genetic correlates for general cognitive function: a report from the COGENT consortium.","Cognitive function",intelligence,'-,"35298 European",'-,13,NA
"Davies G",GCST002774,2015-02-03,"Mol Psychiatry","Genetic contributions to variation in general cognitive function: a meta-analysis of genome-wide association studies in the CHARGE consortium (N=53949).","Cognitive function",intelligence,'-,"53949 European",'-,34,NA
"Sniekers S",GCST004364,2017-05-22,"Nat Genet","Genome-wide association meta-analysis of 78,308 individuals identifies new loci and genes influencing human intelligence.",Intelligence,intelligence,'-,"78308 European",'-,36,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
"Kornilov SA",GCST009320,2019-09-18,"Front Genet","Genome-Wide Homozygosity Mapping Reveals Genes Associated With Cognitive Ability in Children From Saudi Arabia.","General cognitive ability",intelligence,'-,"354 Greater Middle Eastern (Middle Eastern, North African or Persian)",'-,0,NA
"Hill WD",GCST005316,2018-01-11,"Mol Psychiatry","A combined analysis of genetically correlated traits identifies 187 loci and a role for neurogenesis and myelination in intelligence.","Intelligence (MTAG)",intelligence,'-,"120934 European127548 NR",'-,645,NA
"Lam M",GCST005142,2017-11-28,"Cell Rep","Large-Scale Cognitive GWAS Meta-Analysis Reveals Tissue-Specific Neural Expression and Potential Nootropic Drug Targets.","Cognitive ability",intelligence,'-,"107207 European",'-,69,NA
"Lencz T",GCST006523,2014-02-01,"Mol Psychiatry","Molecular genetic evidence for overlap between general cognitive ability and risk for schizophrenia: a report from the Cognitive Genomics consorTium (COGENT).","General cognitive ability",intelligence,'-,"4896 European",'-,7,NA
"Davies G",GCST006269,2018-05-29,"Nat Commun","Study of 300,486 individuals identifies 148 independent genetic loci influencing general cognitive function.","General cognitive ability",intelligence,'-,"300486 European",'-,1248,NA
"Eising E",GCST90104472,2022-08-23,"Proc Natl Acad Sci U S A","Genome-wide analyses of individual differences in quantitatively assessed reading- and language-related skills in up to 34,000 people. ","Performance intelligence quotient",intelligence,'-,"18722 European",'-,6,"FTP Download"
"Auwerx C",GCST90027407,2022-03-02,"Am J Hum Genet","The individual and global impact of copy-number variants on complex human traits.","Fluid intelligence score (UKB data field 20016) (CNV deletion-only model)",intelligence,'-,"124129 European",'-,0,"FTP Download"
"Auwerx C",GCST90027350,2022-03-02,"Am J Hum Genet","The individual and global impact of copy-number variants on complex human traits.","Fluid intelligence score (UKB data field 20016) (CNV duplication-only model)",intelligence,'-,"124129 European",'-,0,"FTP Download"
"Auwerx C",GCST90027293,2022-03-02,"Am J Hum Genet","The individual and global impact of copy-number variants on complex human traits.","Fluid intelligence score (UKB data field 20016) (CNV mirror model)",intelligence,'-,"124129 European",'-,0,"FTP Download"
"Hatoum AS",GCST90179114,2022-07-14,"Biol Psychiatry","Genome-wide Association Study Shows That Executive Functioning Is Influenced by GABAergic Processes and Is a Neurocognitive Genetic Correlate of Psychiatric Disorders.",Intelligence,intelligence,'-,"216381 European",'-,17,NA
