"First author","Study accession","Publication date",Journal,Title,"Reported trait",Trait(s),"Background trait(s)","Discovery sample number and ancestry","Replication sample number and ancestry","Association count","Summary statistics"
"Adkins DE",GCST002981,2015-06-17,"Twin Res Hum Genet","Genome-Wide Meta-Analysis of Longitudinal Alcohol Consumption Across Youth and Early Adulthood.","Longitudinal alcohol consumption","longitudinal alcohol consumption measurement",'-,"2126 NR",'-,6,NA
"Jiang L",GCST90042763,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Ever had known person concerned about, or recommend reduction of, alcohol consumption: No (UKB data field 20405_0)","longitudinal alcohol consumption measurement",'-,"147545 European",'-,0,"FTP Download"
"Jiang L",GCST90042764,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Ever had known person concerned about, or recommend reduction of, alcohol consumption: Yes, but not in the last year (UKB data field 20405_1)","longitudinal alcohol consumption measurement",'-,"147545 European",'-,0,"FTP Download"
"Jiang L",GCST90042765,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Ever had known person concerned about, or recommend reduction of, alcohol consumption: Yes, during the last year (UKB data field 20405_2)","longitudinal alcohol consumption measurement",'-,"147545 European",'-,0,"FTP Download"
"Backman JD",GCST90082389,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Ever had known person concerned about or recommend reduction of alcohol consumption but not in the last year (UKB data field 20405) (Gene-based burden)","longitudinal alcohol consumption measurement",'-,"139503 European",'-,0,"FTP Download"
"Backman JD",GCST90082390,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Ever had known person concerned about or recommend reduction of alcohol consumption during the last year (UKB data field 20405) (Gene-based burden)","longitudinal alcohol consumption measurement",'-,"139503 European",'-,0,"FTP Download"
"Backman JD",GCST90078403,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Ever had known person concerned about or recommend reduction of alcohol consumption but not in the last year (UKB data field 20405)","longitudinal alcohol consumption measurement",'-,"139503 European",'-,0,"FTP Download"
"Backman JD",GCST90078404,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Ever had known person concerned about or recommend reduction of alcohol consumption during the last year (UKB data field 20405)","longitudinal alcohol consumption measurement",'-,"139503 European",'-,0,"FTP Download"
"Dao C",GCST012336,2021-04-16,Addiction,"The Impact of Removing Former Drinkers from Genome-wide Association Studies of AUDIT-C.","Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,"131510 European",'-,12,NA
"Kranzler HR",GCST008258,2019-04-02,"Nat Commun","Genome-wide association study of alcohol consumption and use disorder in 274,424 individuals from multiple populations.","Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,"189 South Asian200680 European14112 Hispanic or Latin American1366 East Asian56495 African American or Afro-Caribbean",'-,32,NA
"Schumann G",GCST004026,2016-11-28,"Proc Natl Acad Sci U S A","KLB is associated with alcohol drinking, and its gene product β-Klotho is necessary for FGF21 regulation of alcohol preference.","Alcohol consumption","alcohol consumption measurement",'-,"70460 European","35438 European",3,NA
"Schumann G",GCST004027,2016-11-28,"Proc Natl Acad Sci U S A","KLB is associated with alcohol drinking, and its gene product β-Klotho is necessary for FGF21 regulation of alcohol preference.","Alcohol consumption (heavy vs. light/non-drinkers)","alcohol consumption measurement",'-,"74711 European","31021 European",2,NA
"Sanchez-Roige S",GCST004990,2017-10-23,"Addict Biol","Genome-wide association study of alcohol use disorder identification test (AUDIT) scores in 20&nbsp;328 research participants of European ancestry.","Alcohol consumption over the past year","alcohol consumption measurement",'-,"20328 European",'-,5,NA
"Gelernter J",GCST005441,2018-02-20,"Alcohol Clin Exp Res","Genomewide association study of alcohol dependence and related traits in a Thai population.","Alcohol consumption (max-drinks)","alcohol consumption measurement",'-,"1045 South East Asian",'-,11,NA
