"First author","Study accession","Publication date",Journal,Title,"Reported trait",Trait(s),"Background trait(s)","Discovery sample number and ancestry","Replication sample number and ancestry","Association count","Summary statistics"
"Morra A",GCST90029050,2021-08-18,"Breast Cancer Res","Association of germline genetic variants with breast cancer-specific survival in patient subgroups defined by clinic-pathological variables related to tumor biology and type of systemic treatment.","15-year breast cancer-specific survival (ER positive or PR positive, and HER2 positive)","survival time, HER2 Positive Breast Carcinoma, estrogen-receptor positive breast cancer, breast carcinoma, progesterone-receptor positive breast cancer",'-,"5567 European",'-,0,NA
"Morra A",GCST90029051,2021-08-18,"Breast Cancer Res","Association of germline genetic variants with breast cancer-specific survival in patient subgroups defined by clinic-pathological variables related to tumor biology and type of systemic treatment.","15-year breast cancer-specific survival (ER negative or PR negative, and HER2 positive)","progesterone-receptor negative breast cancer, estrogen-receptor negative breast cancer, survival time, HER2 Positive Breast Carcinoma, breast carcinoma",'-,"2298 European",'-,0,NA
"Morra A",GCST90029047,2021-08-18,"Breast Cancer Res","Association of germline genetic variants with breast cancer-specific survival in patient subgroups defined by clinic-pathological variables related to tumor biology and type of systemic treatment.","15-year breast cancer-specific survival (ER positive, PR positive, and HER2 negative)","survival time, estrogen-receptor positive breast cancer, breast carcinoma, HER2 negative breast carcinoma, progesterone-receptor positive breast cancer",'-,"35550 European",'-,1,NA
"Morra A",GCST90029049,2021-08-18,"Breast Cancer Res","Association of germline genetic variants with breast cancer-specific survival in patient subgroups defined by clinic-pathological variables related to tumor biology and type of systemic treatment.","15-year breast cancer-specific survival (ER positive or PR positive, and HER2 negative not treated with chemotherapy)","survival time, estrogen-receptor positive breast cancer, breast carcinoma, HER2 negative breast carcinoma, progesterone-receptor positive breast cancer",'-,"10275 European",'-,0,NA
"Morra A",GCST90029061,2021-08-18,"Breast Cancer Res","Association of germline genetic variants with breast cancer-specific survival in patient subgroups defined by clinic-pathological variables related to tumor biology and type of systemic treatment.","5-year breast cancer-specific survival (ER positive or PR positive, and HER2 negative not treated with chemotherapy)","survival time, estrogen-receptor positive breast cancer, breast carcinoma, HER2 negative breast carcinoma, progesterone-receptor positive breast cancer",'-,"10156 European",'-,0,NA
"Morra A",GCST90029048,2021-08-18,"Breast Cancer Res","Association of germline genetic variants with breast cancer-specific survival in patient subgroups defined by clinic-pathological variables related to tumor biology and type of systemic treatment.","15-year breast cancer-specific survival (ER positive or PR positive, and HER2 negative treated with chemotherapy)","survival time, estrogen-receptor positive breast cancer, breast carcinoma, HER2 negative breast carcinoma, progesterone-receptor positive breast cancer, response to antineoplastic agent",'-,"10394 European",'-,1,NA
"Morra A",GCST90029060,2021-08-18,"Breast Cancer Res","Association of germline genetic variants with breast cancer-specific survival in patient subgroups defined by clinic-pathological variables related to tumor biology and type of systemic treatment.","5-year breast cancer-specific survival (ER positive or PR positive, and HER2 negative treated with chemotherapy)","survival time, estrogen-receptor positive breast cancer, breast carcinoma, HER2 negative breast carcinoma, progesterone-receptor positive breast cancer, response to antineoplastic agent",'-,"10273 European",'-,0,NA
"Guo Q",GCST002861,2015-04-18,"J Natl Cancer Inst","Identification of novel genetic markers of breast cancer survival.","Breast cancer (survival)","estrogen-receptor negative breast cancer, survival time, estrogen-receptor positive breast cancer, breast carcinoma",'-,"37954 European",'-,3,NA
"Morra A",GCST90029052,2021-08-18,"Breast Cancer Res","Association of germline genetic variants with breast cancer-specific survival in patient subgroups defined by clinic-pathological variables related to tumor biology and type of systemic treatment.","15-year breast cancer-specific survival (ER negative or PR negative, and HER2 negative)","survival time, breast carcinoma, triple-negative breast cancer",'-,"5631 European",'-,0,NA
"Jiang L",GCST90043925,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","ICD10 D05.0: Lobular carcinoma in situ of breast","Lobular Breast Carcinoma In Situ",'-,"247540 European",'-,0,"FTP Download"
"Jiang L",GCST90043927,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","ICD10 D05.7: Other carcinoma in situ of breast","breast carcinoma in situ",'-,"247540 European",'-,0,"FTP Download"
"Backman JD",GCST90079128,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Intraductal carcinoma in situ of breast (UKB data field 40006)","Ductal Breast Carcinoma In Situ and Lobular Carcinoma In Situ",'-,"41005 European",'-,0,"FTP Download"
"Backman JD",GCST90083114,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Intraductal carcinoma in situ of breast (UKB data field 40006) (Gene-based burden)","Ductal Breast Carcinoma In Situ and Lobular Carcinoma In Situ",'-,"41005 European",'-,0,"FTP Download"
"Lacson JCA",GCST007419,2017-09-01,"Cancer Epidemiol Biomarkers Prev","Genome-Wide Testing of Exonic Variants and Breast Cancer Risk in the California Teachers Study.","Breast cancer (HER2 positive)","HER2 Positive Breast Carcinoma",'-,"1504 NR",'-,0,NA
"Lacson JCA",GCST007420,2017-09-01,"Cancer Epidemiol Biomarkers Prev","Genome-Wide Testing of Exonic Variants and Breast Cancer Risk in the California Teachers Study.","Breast cancer (progesterone-receptor positive)","progesterone-receptor negative breast cancer",'-,"2359 NR",'-,1,NA
"Lacson JCA",GCST007417,2017-09-01,"Cancer Epidemiol Biomarkers Prev","Genome-Wide Testing of Exonic Variants and Breast Cancer Risk in the California Teachers Study.","Breast cancer (progesterone-receptor negative)","progesterone-receptor negative breast cancer",'-,"1729 NR",'-,0,NA
