"First author","Study accession","Publication date",Journal,Title,"Reported trait",Trait(s),"Background trait(s)","Discovery sample number and ancestry","Replication sample number and ancestry","Association count","Summary statistics"
"Jiang L",GCST90043932,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","ICD10 D07.5: Carcinoma in situ of prostate","Grade III Prostatic Intraepithelial Neoplasia",'-,"208808 European",'-,0,"FTP Download"
"Backman JD",GCST90080618,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 N41.1: Chronic prostatitis",prostatitis,'-,"194605 European",'-,0,"FTP Download"
"Backman JD",GCST90080620,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 N41: Inflammatory diseases of prostate",prostatitis,'-,"175152 European",'-,0,"FTP Download"
"Jiang L",GCST90044258,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Acute prostatitis (PheCode 601.11)",prostatitis,'-,"208808 European",'-,0,"FTP Download"
"Jiang L",GCST90044259,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Chronic prostatitis (PheCode 601.12)",prostatitis,'-,"208808 European",'-,0,"FTP Download"
"Backman JD",GCST90084606,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 N41: Inflammatory diseases of prostate (Gene-based burden)",prostatitis,'-,"175152 European",'-,0,"FTP Download"
"Backman JD",GCST90084604,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 N41.1: Chronic prostatitis (Gene-based burden)",prostatitis,'-,"194605 European",'-,0,"FTP Download"
"Backman JD",GCST90080621,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 N42.8: Other specified disorders of prostate","prostate disease",'-,"176096 European",'-,0,"FTP Download"
"Backman JD",GCST90080622,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 N42: Other and unspecified disorders of prostate","prostate disease",'-,"175773 European",'-,0,"FTP Download"
"Jiang L",GCST90044271,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Other disorders of prostate (PheCode 602)","prostate disease",'-,"208808 European",'-,0,"FTP Download"
"Backman JD",GCST90084608,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 N42: Other and unspecified disorders of prostate (Gene-based burden)","prostate disease",'-,"175773 European",'-,0,"FTP Download"
"Backman JD",GCST90084607,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 N42.8: Other specified disorders of prostate (Gene-based burden)","prostate disease",'-,"176096 European",'-,0,"FTP Download"
"Backman JD",GCST90077718,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Prostate problem (not cancer)","prostate disease",'-,"331754 European",'-,0,"FTP Download"
