"First author","Study accession","Publication date",Journal,Title,"Reported trait",Trait(s),"Background trait(s)","Discovery sample number and ancestry","Replication sample number and ancestry","Association count","Summary statistics"
"Alonso A",GCST002729,2014-12-31,Gastroenterology,"Identification of risk loci for Crohn's disease phenotypes using a genome-wide association study.","Crohn's disease-related phenotypes","stricture, ileocolitis, perianal Crohn's disease, Erythema nodosum, Crohn's disease, mild disease course, complicated disease course",'-,"1090 European","1296 European",7,NA
"Huang H",GCST005837,2017-06-28,Nature,"Fine-mapping inflammatory bowel disease loci to single-variant resolution.","Inflammatory bowel disease","ulcerative colitis, Crohn's disease, inflammatory bowel disease",'-,"69603 European",'-,0,NA
"Westerlind H",GCST005879,2015-11-02,Gut,"Dense genotyping of immune-related loci identifies HLA variants associated with increased risk of collagenous colitis.","Collagenous colitis","collagenous colitis",'-,"4216 European","397 European",1,NA
"Okada Y",GCST001118,2011-06-20,Gastroenterology,"HLA-Cw*1202-B*5201-DRB1*1502 haplotype increases risk for ulcerative colitis but reduces risk for Crohn's disease.","Ulcerative colitis or Crohn's disease","ulcerative colitis, Crohn's disease",'-,"744 East Asian","983 East Asian",2,NA
"Peyrot WJ",GCST90016611,2021-03-08,"Nat Genet","Identifying loci with different allele frequencies among cases of eight psychiatric disorders using CC-GWAS.","Crohn's disease vs ulcerative colitis (ordinary least squares (OLS))","ulcerative colitis, Crohn's disease",'-,"12924 NR","25273 NR",8,"FTP Download"
"Jung S",GCST90179177,2022-09-26,"Hum Mol Genet","Case-case genome-wide association analysis identifying genetic loci with divergent effects on Crohn's disease and ulcerative colitis.","Crohn's disease vs ulcerative colitis","ulcerative colitis, Crohn's disease",'-,"4534 East Asian","1391 East Asian",3,NA
"Green HD",GCST009081,2019-05-24,"J Crohns Colitis","Genome-wide association study of microscopic colitis in the UK Biobank confirms immune-related pathogenesis.","Microscopic colitis","microscopic colitis",'-,"445655 European",'-,24,"FTP Download"
"Backman JD",GCST90080217,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 K37: Unspecified appendicitis",appendicitis,'-,"387660 European",'-,0,"FTP Download"
"Backman JD",GCST90080214,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 K35.0: Acute appendicitis with generalized peritonitis",appendicitis,'-,"387930 European",'-,0,"FTP Download"
"Backman JD",GCST90080215,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 K35.9: Acute appendicitis, unspecified",appendicitis,'-,"387930 European",'-,0,"FTP Download"
"Backman JD",GCST90080216,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 K35: Acute appendicitis",appendicitis,'-,"387460 European",'-,0,"FTP Download"
