"First author","Study accession","Publication date",Journal,Title,"Reported trait",Trait(s),"Background trait(s)","Discovery sample number and ancestry","Replication sample number and ancestry","Association count","Summary statistics"
"Fehringer G",GCST003588,2016-04-20,"Cancer Res","Cross-Cancer Genome-Wide Analysis of Lung, Ovary, Breast, Prostate, and Colorectal Cancer Reveals Novel Pleiotropic Associations.","Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, obsolete_cancer, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,"123671 European",'-,26,NA
"Fehringer G",GCST003587,2016-04-20,"Cancer Res","Cross-Cancer Genome-Wide Analysis of Lung, Ovary, Breast, Prostate, and Colorectal Cancer Reveals Novel Pleiotropic Associations.",Cancer,"lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, obsolete_cancer, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,"123671 European",'-,17,NA
"Wang Y",GCST002466,2014-06-01,"Nat Genet","Rare variants of large effect in BRCA2 and CHEK2 affect risk of lung cancer.","Lung cancer","lung carcinoma, squamous cell carcinoma, lung adenocarcinoma",'-,"27209 European","48541 European",5,NA
"Nazarian A",GCST011974,2021-05-01,"Genes (Basel)","Genome-Wide Analysis of Sex Disparities in the Genetic Architecture of Lung and Colorectal Cancers.","Lung cancer","lung cancer",'-,"15089 European",'-,12,NA
"Nazarian A",GCST90101896,2022-01-03,"J Appl Genet","Genome-wide analysis of genetic predisposition to common polygenic cancers.","Lung cancer","lung cancer",'-,"15089 European",'-,1,NA
"Wu C",GCST000896,2010-11-30,"Cancer Res","Genome-wide interrogation identifies YAP1 variants associated with survival of small-cell lung cancer patients.","Small-cell lung cancer (survival)","small cell lung carcinoma",'-,"245 East Asian","305 East Asian",1,NA
"McKay JD",GCST004746,2017-06-12,"Nat Genet","Large-scale association analysis identifies new lung cancer susceptibility loci and heterogeneity in genetic susceptibility across histological subtypes.","Small cell lung carcinoma","small cell lung carcinoma",'-,"24108 European",'-,50,"FTP Download"
"Byun J",GCST90134664,2022-08-01,"Nat Genet","Cross-ancestry genome-wide meta-analysis of 61,047 cases and 947,237 controls identifies new susceptibility loci contributing to lung cancer.","Small cell lung carcinoma","small cell lung carcinoma",'-,"25440 European5471 East Asian3890 African American or Afro-Caribbean","366550 European589 African American or Afro-Caribbean",3,NA
"Yoon KA",GCST000815,2010-09-28,"Hum Mol Genet","A genome-wide association study reveals susceptibility variants for non-small cell lung cancer in the Korean population.","Non-small cell lung cancer","non-small cell lung carcinoma",'-,"2162 East Asian","2274 East Asian",3,NA
"Dong J",GCST001827,2013-01-17,"PLoS Genet","Genome-wide association study identifies a novel susceptibility locus at 12q23.1 for lung squamous cell carcinoma in han chinese.","Squamous cell carcinoma","non-small cell lung carcinoma",'-,"3927 East Asian","8632 East Asian",1,NA
"Ahn MJ",GCST001210,2011-08-25,"Hum Genet","The 18p11.22 locus is associated with never smoker non-small cell lung cancer susceptibility in Korean populations.","Non-small cell lung cancer","non-small cell lung carcinoma",'-,"942 East Asian","1394 East Asian",1,NA
"Lee Y",GCST001734,2012-11-08,Carcinogenesis,"Prognostic implications of genetic variants in advanced non-small cell lung cancer: a genome-wide association study.","Non-small cell lung cancer","non-small cell lung carcinoma",'-,"348 East Asian",'-,13,NA
"Yoon KA",GCST002412,2014-04-15,"Clin Cancer Res","Genetic variations associated with postoperative recurrence in stage I non-small cell lung cancer.","Non-small cell lung cancer (recurrence rate)","non-small cell lung carcinoma",'-,"250 East Asian","308 East Asian",2,NA
