"First author","Study accession","Publication date",Journal,Title,"Reported trait",Trait(s),"Background trait(s)","Discovery sample number and ancestry","Replication sample number and ancestry","Association count","Summary statistics"
"Jiang L",GCST90044159,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Intestinal malabsorption (non-celiac) (PheCode 557)","lactose intolerance",'-,"456348 European",'-,0,"FTP Download"
"Backman JD",GCST90080315,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 K90: Intestinal malabsorption","malabsorption syndrome",'-,"387269 European","113279 European",0,"FTP Download"
"Backman JD",GCST90084301,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 K90: Intestinal malabsorption (Gene-based burden)","malabsorption syndrome",'-,"387269 European",'-,0,"FTP Download"
"Márquez A",GCST009874,2018-12-20,"Genome Med","Meta-analysis of Immunochip data of four autoimmune diseases reveals novel single-disease and cross-phenotype associations.","Celiac disease","celiac disease",'-,"33797 European",'-,35,NA
"van Heel DA",GCST000048,2007-06-10,"Nat Genet","A genome-wide association study for celiac disease identifies risk variants in the region harboring IL2 and IL21.","Celiac disease","celiac disease",'-,"2200 European","2480 European",2,NA
"Dubois PC",GCST000612,2010-02-28,"Nat Genet","Multiple common variants for celiac disease influencing immune gene expression.","Celiac disease","celiac disease",'-,"15283 European","10602 European",40,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
"Hunt KA",GCST000157,2008-03-02,"Nat Genet","Newly identified genetic risk variants for celiac disease related to the immune response.","Celiac disease","celiac disease",'-,"2189 European","5049 European",8,NA
"Coleman C",GCST008489,2015-04-29,"Eur J Hum Genet","Common polygenic variation in coeliac disease and confirmation of ZNF335 and NIFA as disease susceptibility loci.","Celiac disease","celiac disease",'-,"878 European","620 South Asian23649 European",23,NA
"Backman JD",GCST90082818,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Coeliac disease or gluten sensitivity (UKB data field 21068) (Gene-based burden)","celiac disease",'-,"154078 European",'-,0,"FTP Download"
"Backman JD",GCST90080314,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 K90.0: Celiac disease","celiac disease",'-,"387929 European","112083 European",0,"FTP Download"
"Backman JD",GCST90084300,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 K90.0: Celiac disease (Gene-based burden)","celiac disease",'-,"387929 European",'-,0,"FTP Download"
"Backman JD",GCST90077859,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Malabsorption coeliac disease","celiac disease",'-,"331754 European",'-,0,"FTP Download"
"Backman JD",GCST90078832,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Coeliac disease or gluten sensitivity (UKB data field 21068)","celiac disease",'-,"154078 European",'-,0,"FTP Download"
"Backman JD",GCST90077860,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 K90: malabsorption coeliac disease","celiac disease",'-,"329052 European",'-,0,"FTP Download"
"Backman JD",GCST90081845,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","Malabsorption coeliac disease (Gene-based burden)","celiac disease",'-,"331754 European",'-,0,"FTP Download"
"Backman JD",GCST90081846,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 K90: malabsorption coeliac disease (Gene-based burden)","celiac disease",'-,"329052 European",'-,0,"FTP Download"
"Garner C",GCST002520,2014-07-07,"PLoS One","Genome-wide association study of celiac disease in North America confirms FRMD4B as new celiac locus.","Celiac disease","celiac disease",'-,"4634 European",'-,8,NA
"Östensson M",GCST002112,2013-08-02,"PLoS One","A possible mechanism behind autoimmune disorders discovered by genome-wide linkage and association analysis in celiac disease.","Celiac disease","celiac disease",'-,"618 European",'-,15,NA
"Trynka G",GCST005523,2011-11-06,"Nat Genet","Dense genotyping identifies and localizes multiple common and rare variant association signals in celiac disease.","Celiac disease","celiac disease",'-,"23649 European620 South Asian",'-,43,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
"Ricaño-Ponce I",GCST010064,2019-10-07,"Eur J Hum Genet","Immunochip meta-analysis in European and Argentinian populations identifies two novel genetic loci associated with celiac disease.","Celiac disease","celiac disease",'-,"26580 European1194 Hispanic or Latin American",'-,4,"FTP Download"
"Glanville KP",GCST90014442,2021-06-01,"Biol Psychiatry Glob Open Sci","Investigating Pleiotropy Between Depression and Autoimmune Diseases Using the UK Biobank.","Celiac disease","celiac disease",'-,"326438 European",'-,0,"FTP Download"
"Glanville KP",GCST90014443,2021-06-01,"Biol Psychiatry Glob Open Sci","Investigating Pleiotropy Between Depression and Autoimmune Diseases Using the UK Biobank.","Celiac disease","celiac disease",'-,"325334 European",'-,0,"FTP Download"
"Jiang L",GCST90044158,2021-11-04,"Nat Genet","A generalized linear mixed model association tool for biobank-scale data. ","Celiac disease (PheCode 557.1)","celiac disease",'-,"456348 European",'-,2,"FTP Download"
"Festen EA",GCST000955,2011-01-27,"PLoS Genet","A meta-analysis of genome-wide association scans identifies IL18RAP, PTPN2, TAGAP, and PUS10 as shared risk loci for Crohn's disease and celiac disease.","Crohn's disease and celiac disease","celiac disease, Crohn's disease",'-,"10249 European","11367 European",2,NA
"Gutierrez-Achury J",GCST008644,2016-01-01,"Hum Mol Genet","Functional implications of disease-specific variants in loci jointly associated with coeliac disease and rheumatoid arthritis.","Celiac disease and Rheumatoid arthritis","rheumatoid arthritis, celiac disease",'-,"32475 NR13329 European880 South Asian",'-,24,NA
"Broce I",GCST005319,2018-01-09,"PLoS Med","Immune-related genetic enrichment in frontotemporal dementia: An analysis of genome-wide association studies.","Frontotemporal dementia and immune-mediated diseases (pleiotropy)","obsolete_frontotemporal dementia, rheumatoid arthritis, psoriasis, celiac disease, ulcerative colitis, Crohn's disease",'-,"149010 NR",'-,0,NA
"Broce I",GCST005320,2018-01-09,"PLoS Med","Immune-related genetic enrichment in frontotemporal dementia: An analysis of genome-wide association studies.","Progressive supranuclear palsy and immune-mediated diseases (pleiotropy)","rheumatoid arthritis, type 1 diabetes mellitus, psoriasis, obsolete_progressive supranuclear palsy, celiac disease, ulcerative colitis, Crohn's disease",'-,"146909 NR",'-,0,NA
"Broce I",GCST005321,2018-01-09,"PLoS Med","Immune-related genetic enrichment in frontotemporal dementia: An analysis of genome-wide association studies.","Amyotrophic lateral sclerosis and immune-mediated diseases (pleiotropy)","rheumatoid arthritis, amyotrophic lateral sclerosis, type 1 diabetes mellitus, psoriasis, celiac disease, ulcerative colitis, Crohn's disease",'-,"178600 NR",'-,0,NA
"Broce I",GCST005322,2018-01-09,"PLoS Med","Immune-related genetic enrichment in frontotemporal dementia: An analysis of genome-wide association studies.","Corticobasal degeneration and immune-mediated diseases (pleiotropy)","rheumatoid arthritis, type 1 diabetes mellitus, psoriasis, celiac disease, ulcerative colitis, Crohn's disease, obsolete_corticobasal degeneration",'-,"146011 NR",'-,0,NA
