"First author","Study accession","Publication date",Journal,Title,"Reported trait",Trait(s),"Background trait(s)","Discovery sample number and ancestry","Replication sample number and ancestry","Association count","Summary statistics"
"Lo MT",GCST004017,2016-12-05,"Nat Genet","Genome-wide analyses for personality traits identify six genomic loci and show correlations with psychiatric disorders.",Neuroticism,"neuroticism measurement",'-,"122867 European","137994 European",2,NA
"de Moor MH",GCST006327,2010-12-21,"Mol Psychiatry","Meta-analysis of genome-wide association studies for personality.",Neuroticism,"neuroticism measurement",'-,"17375 European","3294 European",0,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
"Okbay A",GCST003770,2016-04-18,"Nat Genet","Genetic variants associated with subjective well-being, depressive symptoms, and neuroticism identified through genome-wide analyses.",Neuroticism,"neuroticism measurement",'-,"170911 European",'-,114,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
"Smith DJ",GCST003447,2016-04-12,"Mol Psychiatry","Genome-wide analysis of over 106 000 individuals identifies 9 neuroticism-associated loci.",Neuroticism,"neuroticism measurement",'-,"91370 European15346 NR",'-,13,NA
"Nagel M",GCST010123,2020-01-23,"Acta Psychiatr Scand","Genome-wide association study of the sensitivity to environmental stress and adversity (SESA) neuroticism cluster.","Sensitivity to environmental stress and adversity","neuroticism measurement",'-,"351827 European",'-,47,NA
"Hill WD",GCST007709,2019-03-13,"Mol Psychiatry","Genetic contributions to two special factors of neuroticism are associated with affluence, higher intelligence, better health, and longer life.","General factor of neuroticism","neuroticism measurement",'-,"270059 European",'-,308,"FTP Download"
"Baselmans BML",GCST007339,2019-01-14,"Nat Genet","Multivariate genome-wide analyses of the well-being spectrum.",Neuroticism,"neuroticism measurement",'-,"523783 European","59206 European",263,"FTP Download"
"Turley P",GCST005326,2018-01-01,"Nat Genet","Multi-trait analysis of genome-wide association summary statistics using MTAG.","Neuroticism (MTAG)","neuroticism measurement",'-,"168105 European",'-,37,NA
"Turley P",GCST005327,2018-01-01,"Nat Genet","Multi-trait analysis of genome-wide association summary statistics using MTAG.",Neuroticism,"neuroticism measurement",'-,"168105 European",'-,12,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
"de Moor MH",GCST002920,2015-05-20,"JAMA Psychiatry","Meta-analysis of Genome-wide Association Studies for Neuroticism, and the Polygenic Association With Major Depressive Disorder.",Neuroticism,"neuroticism measurement",'-,"63661 European","9786 European",12,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
"Arnau-Soler A",GCST008510,2018-12-20,"PLoS One","Genome-wide interaction study of a proxy for stress-sensitivity and its prediction of major depressive disorder.",Neuroticism,"neuroticism measurement",'-,"30247 European",'-,0,NA
"Luciano M",GCST005232,2017-12-18,"Nat Genet","Association analysis in over 329,000 individuals identifies 116 independent variants influencing neuroticism.",Neuroticism,"neuroticism measurement",'-,"329821 European","122867 European",166,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
"Nagel M",GCST006940,2018-03-02,"Nat Commun","Item-level analyses reveal genetic heterogeneity in neuroticism.",Neurociticism,"neuroticism measurement",'-,"380506 European",'-,181,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
"Nagel M",GCST006476,2018-06-25,"Nat Genet","Meta-analysis of genome-wide association studies for neuroticism in 449,484 individuals identifies novel genetic loci and pathways.",Neuroticism,"neuroticism measurement",'-,"449484 European",'-,371,"FTP Download&nbsp;&nbsp;or&nbsp;&nbsp;API access"
"Kichaev G",GCST007084,2018-12-27,"Am J Hum Genet","Leveraging Polygenic Functional Enrichment to Improve GWAS Power.",Neuroticism,"neuroticism measurement",'-,"372000 European",'-,147,NA
"Luciano M",GCST012524,2019-03-06,"Mol Psychiatry","The influence of X chromosome variants on trait neuroticism.",Neuroticism,"neuroticism measurement",'-,"405274 European",'-,37,NA
"Wendt FR",GCST90027239,2020-12-21,"Nat Hum Behav","Multivariate genome-wide analysis of education, socioeconomic status and brain phenome.","Neuroticism conditioned on cognitive performance (multi-trait conditioning and joint analysis)","neuroticism measurement",'-,"170911 European",'-,93,NA
"Wendt FR",GCST90027240,2020-12-21,"Nat Hum Behav","Multivariate genome-wide analysis of education, socioeconomic status and brain phenome.","Neuroticism conditioned on Townsend deprivation index (multi-trait conditioning and joint analysis)","neuroticism measurement",'-,"170911 European",'-,100,NA
"Wendt FR",GCST90027241,2020-12-21,"Nat Hum Behav","Multivariate genome-wide analysis of education, socioeconomic status and brain phenome.","Neuroticism conditioned on educational attainment (multi-trait conditioning and joint analysis)","neuroticism measurement",'-,"170911 European",'-,81,NA
"Wendt FR",GCST90027242,2020-12-21,"Nat Hum Behav","Multivariate genome-wide analysis of education, socioeconomic status and brain phenome.","Neuroticism conditioned on highest math class (multi-trait conditioning and joint analysis)","neuroticism measurement",'-,"170911 European",'-,82,NA
"Wendt FR",GCST90027243,2020-12-21,"Nat Hum Behav","Multivariate genome-wide analysis of education, socioeconomic status and brain phenome.","Neuroticism conditioned on average household income before tax (multi-trait conditioning and joint analysis)","neuroticism measurement",'-,"170911 European",'-,59,NA
"Wendt FR",GCST90027244,2020-12-21,"Nat Hum Behav","Multivariate genome-wide analysis of education, socioeconomic status and brain phenome.","Neuroticism conditioned on self-rated math ability (multi-trait conditioning and joint analysis)","neuroticism measurement",'-,"170911 European",'-,70,NA
"Auwerx C",GCST90027422,2022-03-02,"Am J Hum Genet","The individual and global impact of copy-number variants on complex human traits.","Neuroticism (UKB data field 20127) (CNV deletion-only model)","neuroticism measurement",'-,"269539 European",'-,0,"FTP Download"
"Auwerx C",GCST90027365,2022-03-02,"Am J Hum Genet","The individual and global impact of copy-number variants on complex human traits.","Neuroticism (UKB data field 20127) (CNV duplication-only model)","neuroticism measurement",'-,"269539 European",'-,0,"FTP Download"
"Auwerx C",GCST90027308,2022-03-02,"Am J Hum Genet","The individual and global impact of copy-number variants on complex human traits.","Neuroticism (UKB data field 20127) (CNV mirror model)","neuroticism measurement",'-,"269539 European",'-,0,"FTP Download"
"Howe LJ",GCST90133127,2022-05-09,"Nat Genet","Within-sibship genome-wide association analyses decrease bias in estimates of direct genetic effects.","Neuroticism (population-based)","neuroticism measurement",'-,"88620 European",'-,0,NA
"Howe LJ",GCST90133151,2022-05-09,"Nat Genet","Within-sibship genome-wide association analyses decrease bias in estimates of direct genetic effects.","Neuroticism (within-sibship)","neuroticism measurement",'-,"88620 European",'-,0,NA
"Amare AT",GCST005835,2018-03-06,"Front Psychiatry","Association of the Polygenic Scores for Personality Traits and Response to Selective Serotonin Reuptake Inhibitors in Patients with Major Depressive Disorder.","Remission after SSRI treatment in MDD or neuroticism","neuroticism measurement, response to selective serotonin reuptake inhibitor","unipolar depression","171776 NR",'-,7,NA
"Arnau-Soler A",GCST008506,2018-12-20,"PLoS One","Genome-wide interaction study of a proxy for stress-sensitivity and its prediction of major depressive disorder.","Stress sensitivity (neuroticism score x major depressive disorder status interaction)","unipolar depression, neuroticism measurement",'-,"7155 European",'-,10,"FTP Download"
"Arnau-Soler A",GCST008507,2018-12-20,"PLoS One","Genome-wide interaction study of a proxy for stress-sensitivity and its prediction of major depressive disorder.","Stress sensitivity (neuroticism score x major depressive disorder status interaction)","unipolar depression, neuroticism measurement",'-,"23092 European",'-,3,"FTP Download"
"Arnau-Soler A",GCST008508,2018-12-20,"PLoS One","Genome-wide interaction study of a proxy for stress-sensitivity and its prediction of major depressive disorder.","Stress sensitivity (neuroticism score x major depressive disorder status interaction)","unipolar depression, neuroticism measurement",'-,"30247 European",'-,9,"FTP Download"
"Yin B",GCST90134530,2022-07-11,"Front Psychiatry","Shared Genetics and Causality Between Decaffeinated Coffee Consumption and Neuropsychiatric Diseases: A Large-Scale Genome-Wide Cross-Trait Analysis and Mendelian Randomization Analysis.","Decaffeinated coffee consumption and/or neuroticism","coffee consumption measurement, neuroticism measurement",'-,"709731 NR",'-,31,NA
"Qi G",GCST006665,2018-10-05,"PLoS Genet","Heritability informed power optimization (HIPO) leads to enhanced detection of genetic associations across multiple traits.","Social science traits (pleiotropy) (HIPO component 1)","neuroticism measurement, wellbeing measurement, depressive symptom measurement",'-,"630791 European",'-,14,NA
