"First author","Study accession","Publication date",Journal,Title,"Reported trait",Trait(s),"Background trait(s)","Discovery sample number and ancestry","Replication sample number and ancestry","Association count","Summary statistics"
"Backman JD",GCST90083775,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 F10.1: Alcohol abuse (Gene-based burden)","alcohol abuse",'-,"385351 European",'-,0,"FTP Download"
"Backman JD",GCST90083774,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 F10.10: Alcohol abuse, uncomplicated (Gene-based burden)","alcohol abuse",'-,"385241 European",'-,0,"FTP Download"
"Backman JD",GCST90079788,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 F10.10: Alcohol abuse, uncomplicated","alcohol abuse",'-,"385241 European",'-,0,"FTP Download"
"Backman JD",GCST90079789,2021-10-18,Nature,"Exome sequencing and analysis of 454,787 UK Biobank participants. ","ICD10 F10.1: Alcohol abuse","alcohol abuse",'-,"385351 European",'-,0,"FTP Download"
"Martínez-Magaña JJ",GCST90027269,2021-03-24,"Sci Rep","Genome-wide association study of psychiatric and substance use comorbidity in Mexican individuals.","Risky substance use","substance abuse",'-,"2652 Hispanic or Latin American",'-,1,"FTP Download"
"Chen W",GCST90134639,2022-08-23,"BMC Med","Genetic predispositions to psychiatric disorders and the risk of COVID-19.","Substance misuse","substance abuse",'-,"7118 European",'-,0,NA
"Martínez-Magaña JJ",GCST90027271,2021-03-24,"Sci Rep","Genome-wide association study of psychiatric and substance use comorbidity in Mexican individuals.","Psychiatric symptomatology and risky substance use","mental or behavioural disorder, substance abuse",'-,"2091 Hispanic or Latin American",'-,5,"FTP Download"
"Demontis D",GCST008414,2019-06-17,"Nat Neurosci","Genome-wide association study implicates CHRNA2 in cannabis use disorder.","Cannabis use disorder","cannabis dependence, substance abuse",'-,"51372 European","306542 European",1,NA
"Barr PB",GCST010280,2020-04-01,"Behav Genet","A Family-Based Genome Wide Association Study of Externalizing Behaviors.","Externalizing behaviour score","substance abuse, antisocial behaviour measurement",'-,"4270 African unspecified, European7568 European3274 African unspecified",'-,5,NA
"Karlsson Linnér R",GCST90061435,2021-08-26,"Nat Neurosci","Multivariate analysis of 1.5 million people identifies genetic associations with traits related to self-regulation and addiction.","Externalizing behaviour (multivariate analysis)","attention deficit hyperactivity disorder, substance abuse, antisocial behaviour measurement",'-,"1492085 European",'-,579,NA
"Demontis D",GCST008415,2019-06-17,"Nat Neurosci","Genome-wide association study implicates CHRNA2 in cannabis use disorder.","Cannabis use disorder vs schizophrenia","cannabis dependence, schizophrenia, substance abuse",'-,"4176 European",'-,0,NA
"Jang SK",GCST010542,2020-08-07,"Psychol Med","Genetic correlation, pleiotropy, and causal associations between substance use and psychiatric disorder.","Substance uses or psychiatric disorders (pleiotropy)","anorexia nervosa, major depressive episode, schizophrenia, substance abuse, obsolete_bipolar disorder, ADHD symptom measurement",'-,"3163885 European",'-,0,NA
