World region / Country ,Prevalence (1:  X) ,Population size 2018 1 ,PKU patients (estimated  ) ,Ref. ,Continent
   ,,,,   ,
China ,"15,924","1,427,647,789","89,654",2,Asia
India ,"18,300","1,352,642,283","73,915",3,Asia
Japan ,"125,000","1,27,202,190 ","1,018",4,Asia
Korea ,"41,000","51,171,700","1,248",5,Asia
Philippines ,"116,006","106,651,394",919,6,Asia
Singapore  ,"83,333","5,757,503",69,7,Asia
Taiwan  ,"58,824","23,726,460",403,8,Asia
Thailand ,"227,273","69,428,454",305,9,Asia
Bahrain ,"22,222","1,569,440",71,10,Middle east
Iran  ,"5,000","81,800,204","16,360",11,Middle east
Iraq ,"14,286","38,433,604","2,690",12,Middle east
Israel ,"6,409","8,381,507","1,308",13,Middle east
Jordan ,"5,000","9,965,322","1,993",14,Middle east
Saudi Arabia  ,"14,245","33,702,757","2,366",15,Middle east
Turkey  ,"6,667","82,340,090","12,351",16,Middle east
UAE  ,"14,493","9,630,966",665,17,Middle east
Egypt ,"5,000","98,423,602","19,685",18,Africa
Tunisia  ,"7,692","11,565,203","1,503",19,Africa
Austria ,"5,764","8,891,383","1,543",20,Europe
Belarus  ,"7,692","9,452,615","1,229",21,Europe
Bosnia-Herzegovina  ,"10,000","3,323,929",332,21,Europe
Bulgaria ,"26,695","7,051,610",264,22,Europe
Croatia  ,"8,333","4,156,407",499,23,Europe
Cyprus ,"13,000","1,189,262",91,24,Europe
Czech Republic  ,"5,521","10,665,679","1,932",25,Europe
Denmark ,"13,434","5,752,131",428,21,Europe
Estonia  ,7143,"1,322,913",185,26,Europe
Finland  ,"112,000","5,522,585",49,27,Europe
France ,9091,"64,990,512","7,149",28,Europe
Germany  ,"5,360","83,124,413","15,508",29,Europe
Greece  ,"10,420","10,522,244","1,010",30,Europe
Hungary ,"9,000","9,707,502","1,079",31,Europe
Iceland ,"8,400","336,712",40,32,Europe
Ireland  ,"4,545","4,818,694","1,060",33,Europe
Italy  ,"4,000","60,627,291","15,157",34,Europe
Latvia ,"8,170","1,928,461",236,35,Europe
Lithuania ,"9,300","2,801,270",301,36,Europe
Moldova  ,"7,353","4,051,950",551,37,Europe
Netherlands  ,"11,546","17,059,560","1,478",38,Europe
Norway  ,"11,457","5,337,960",466,21,Europe
Poland  ,"8,309","37,921,585","4,564",? ,Europe
Portugal  ,"12,500","10,256,192",820,39,Europe
Romania ,"10,000","19,506,110","1,951",40,Europe
Russia  ,"7,714","145,734,034","18,892",21,Europe
Serbia  ,"12,300","8,802,741",716,41,Europe
Slovak Republic  ,"5,753","5,453,017",948,42,Europe
Slovenia ,"7,143","2,077,836",291,43,Europe
Spain ,"10,115","46,692,863","4,616",? ,Europe
Sweden  ,"12,681","9,971,630",786,21,Europe
Switzerland  ,"8,000","8,525,614","1,066",44,Europe
United Kingdom ,"10,000","67,141,678","6,,714 ",45,Europe
Ukraine ,"7,143","44,246,158",6194,46,Europe
Canada ,"15,000","37,074,558",2472,47,North_America|Oceania
United States of America ,"25,000","327,096,263","13,084",48,North_America|Oceania
Australia ,"11,236","24,898,153","2,216",49,North_America|Oceania
New Zealand ,"15,924","4,743,131",298,50,North_America|Oceania
Argentina ,"15,715","44,361,150","2,823",51,Sourth_America|Caribbean
Brazil ,"25,000","209,469,320","8,379",52,Sourth_America|Caribbean
Chile ,"19,231","18,729,166",974,53,Sourth_America|Caribbean
Costa Rica  ,"49,179","4,999,443",102,54,Sourth_America|Caribbean
Mexico ,"27,778","126,190,782","4,543",55,Sourth_America|Caribbean
Peru ,"46,970","31,989,265",681,56,Sourth_America|Caribbean
Cuba ,"50,000","11,338,146",227,57,Sourth_America|Caribbean
,,,,,
,,,,,
,,,,,
,,,,,
