"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs845885-<b>G</b>,"2 x 10-6",,0.3186,1.36,'-,[1.2-1.55],LINC01622,"Risky substance use","substance abuse",'-,GCST90027269,6:1019127
rs12747494-<b>C</b>,"1 x 10-6",,0.191,1.56,'-,[1.3-1.86],"HFM1, CDC7","Psychiatric symptomatology and risky substance use","mental or behavioural disorder, substance abuse",'-,GCST90027271,1:91478580
rs7078706-<b>T</b>,"2 x 10-6",,0.2103,1.51,'-,[1.27-1.78],MGMT,"Psychiatric symptomatology and risky substance use","mental or behavioural disorder, substance abuse",'-,GCST90027271,10:129726753
rs7118149-<b>A</b>,"9 x 10-6",,0.3776,1.41,'-,[1.21-1.65],LUZP2,"Psychiatric symptomatology and risky substance use","mental or behavioural disorder, substance abuse",'-,GCST90027271,11:24678999
rs10778569-<b>G</b>,"5 x 10-6",,0.3315,0.68,'-,[0.57-0.81],PWP1,"Psychiatric symptomatology and risky substance use","mental or behavioural disorder, substance abuse",'-,GCST90027271,12:107694127
rs4238213-<b>T</b>,"4 x 10-6",,0.4436,1.42,'-,[1.22-1.65],FARP1,"Psychiatric symptomatology and risky substance use","mental or behavioural disorder, substance abuse",'-,GCST90027271,13:98217088
rs56372821-<b>G</b>,"9 x 10-12",,0.856,1.25,'-,[NR],GULOP,"Cannabis use disorder","cannabis dependence, substance abuse",'-,GCST008414,8:27578983
rs2433198-<b>?</b>,"4 x 10-6",,NR,'-,"4.594 z score decrease",NR,"GCOM1, MYZAP","Externalizing behaviour score","substance abuse, antisocial behaviour measurement",'-,GCST010280,15:57647349
rs2376620-<b>?</b>,"4 x 10-6",,NR,'-,"4.592 z score decrease",NR,CDKN1A,"Externalizing behaviour score","substance abuse, antisocial behaviour measurement",'-,GCST010280,6:36681816
rs2932207-<b>?</b>,"5 x 10-8",,NR,'-,"5.449 z score decrease",NR,"CGNL1, MYZAP","Externalizing behaviour score","substance abuse, antisocial behaviour measurement",'-,GCST010280,15:57579603
rs146787096-<b>?</b>,"8 x 10-8",,NR,'-,"5.374 z score decrease",NR,"RN7SL474P, FGF20","Externalizing behaviour score","substance abuse, antisocial behaviour measurement",'-,GCST010280,8:16935642
rs113552766-<b>?</b>,"3 x 10-7",,NR,'-,"5.136 z score decrease",NR,SCAPER,"Externalizing behaviour score","substance abuse, antisocial behaviour measurement",'-,GCST010280,15:76481489
rs10922977-<b>T</b>,"3 x 10-8",,0.635,'-,"0.007 unit increase",[0.005-0.009],PKN2-AS1,"Externalizing behaviour (multivariate analysis)","attention deficit hyperactivity disorder, substance abuse, antisocial behaviour measurement",'-,GCST90061435,1:88011051
rs12089815-<b>G</b>,"2 x 10-29",,0.453,'-,"0.014 unit increase",[0.012-0.016],"LINC02609, BARHL2","Externalizing behaviour (multivariate analysis)","attention deficit hyperactivity disorder, substance abuse, antisocial behaviour measurement",'-,GCST90061435,1:90724376
rs11165471-<b>G</b>,"3 x 10-9",,0.513,'-,"0.007 unit decrease",[0.005-0.009],LINC02607,"Externalizing behaviour (multivariate analysis)","attention deficit hyperactivity disorder, substance abuse, antisocial behaviour measurement",'-,GCST90061435,1:95719282
rs505066-<b>C</b>,"3 x 10-9",,0.714,'-,"0.008 unit decrease",[0.006-0.01],"UBE2WP1, LINC01787","Externalizing behaviour (multivariate analysis)","attention deficit hyperactivity disorder, substance abuse, antisocial behaviour measurement",'-,GCST90061435,1:96417115
rs333078-<b>C</b>,"4 x 10-9",,0.644,'-,"0.007 unit decrease",[0.005-0.009],AHCYL1,"Externalizing behaviour (multivariate analysis)","attention deficit hyperactivity disorder, substance abuse, antisocial behaviour measurement",'-,GCST90061435,1:109992292
rs1419079-<b>G</b>,"4 x 10-8",,0.252,'-,"0.007 unit increase",[0.005-0.009],"NGF-AS1, LINC01765","Externalizing behaviour (multivariate analysis)","attention deficit hyperactivity disorder, substance abuse, antisocial behaviour measurement",'-,GCST90061435,1:115103534
rs4845556-<b>G</b>,"3 x 10-10",,0.521,'-,"0.007 unit increase",[0.005-0.009],TDRKH,"Externalizing behaviour (multivariate analysis)","attention deficit hyperactivity disorder, substance abuse, antisocial behaviour measurement",'-,GCST90061435,1:151772382
rs3790613-<b>C</b>,"3 x 10-9",,0.876,'-,"0.01 unit increase",[0.0061-0.0139],UBAP2L,"Externalizing behaviour (multivariate analysis)","attention deficit hyperactivity disorder, substance abuse, antisocial behaviour measurement",'-,GCST90061435,1:154238195
rs41264285-<b>C</b>,"7 x 10-10",,0.791,'-,"0.009 unit decrease",[0.007-0.011],ADAM15,"Externalizing behaviour (multivariate analysis)","attention deficit hyperactivity disorder, substance abuse, antisocial behaviour measurement",'-,GCST90061435,1:155061442
rs9660091-<b>G</b>,"7 x 10-9",,0.612,'-,"0.007 unit decrease",[0.005-0.009],PBX1,"Externalizing behaviour (multivariate analysis)","attention deficit hyperactivity disorder, substance abuse, antisocial behaviour measurement",'-,GCST90061435,1:164763490
rs2901785-<b>G</b>,"1 x 10-10",,0.557,'-,"0.007 unit increase",[0.005-0.009],RABGAP1L-DT,"Externalizing behaviour (multivariate analysis)","attention deficit hyperactivity disorder, substance abuse, antisocial behaviour measurement",'-,GCST90061435,1:174135605
rs12140293-<b>G</b>,"4 x 10-10",,0.811,'-,"0.009 unit increase",[0.0051-0.0129],"DENND1B, C1orf53","Externalizing behaviour (multivariate analysis)","attention deficit hyperactivity disorder, substance abuse, antisocial behaviour measurement",'-,GCST90061435,1:197840949
rs6660370-<b>C</b>,"1 x 10-8",,0.796,'-,"0.008 unit decrease",[0.006-0.01],LINC02789,"Externalizing behaviour (multivariate analysis)","attention deficit hyperactivity disorder, substance abuse, antisocial behaviour measurement",'-,GCST90061435,1:199359802
rs11801229-<b>A</b>,"2 x 10-10",,0.857,'-,"0.01 unit increase",[0.0061-0.0139],LRRN2,"Externalizing behaviour (multivariate analysis)","attention deficit hyperactivity disorder, substance abuse, antisocial behaviour measurement",'-,GCST90061435,1:204645347
rs35068223-<b>A</b>,"2 x 10-8",,0.794,'-,"0.008 unit decrease",[0.006-0.01],NFASC,"Externalizing behaviour (multivariate analysis)","attention deficit hyperactivity disorder, substance abuse, antisocial behaviour measurement",'-,GCST90061435,1:204998058
rs823099-<b>C</b>,"1 x 10-10",,0.562,'-,"0.008 unit decrease",[0.006-0.01],"Metazoa_SRP, NUCKS1","Externalizing behaviour (multivariate analysis)","attention deficit hyperactivity disorder, substance abuse, antisocial behaviour measurement",'-,GCST90061435,1:205700194
rs1564879-<b>G</b>,"2 x 10-8",,0.528,'-,"0.007 unit increase",[0.005-0.009],PFKFB2,"Externalizing behaviour (multivariate analysis)","attention deficit hyperactivity disorder, substance abuse, antisocial behaviour measurement",'-,GCST90061435,1:207078173
rs12735671-<b>C</b>,"4 x 10-8",,0.666,'-,"0.007 unit increase",[0.005-0.009],"LINC01735, PLXNA2","Externalizing behaviour (multivariate analysis)","attention deficit hyperactivity disorder, substance abuse, antisocial behaviour measurement",'-,GCST90061435,1:208273841
rs7545279-<b>T</b>,"3 x 10-10",,0.791,'-,"0.008 unit increase",[0.006-0.01],SYT14,"Externalizing behaviour (multivariate analysis)","attention deficit hyperactivity disorder, substance abuse, antisocial behaviour measurement",'-,GCST90061435,1:210002825
rs10157166-<b>C</b>,"8 x 10-9",,0.593,'-,"0.007 unit decrease",[0.005-0.009],SMYD2,"Externalizing behaviour (multivariate analysis)","attention deficit hyperactivity disorder, substance abuse, antisocial behaviour measurement",'-,GCST90061435,1:214311607
rs616523-<b>C</b>,"6 x 10-9",,0.501,'-,"0.007 unit decrease",[0.005-0.009],USH2A,"Externalizing behaviour (multivariate analysis)","attention deficit hyperactivity disorder, substance abuse, antisocial behaviour measurement",'-,GCST90061435,1:216122856
