"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs2030519-<b>?</b>,"5 x 10-52",,'-,1.3221326,'-,'-,LPP,"Celiac disease","celiac disease",'-,GCST009874,3:188402113
rs13132308-<b>?</b>,"3 x 10-36",,'-,1.4120632,'-,'-,IL21-AS1,"Celiac disease","celiac disease",'-,GCST009874,4:122629959
rs17753641-<b>G</b>,"7 x 10-29",,'-,1.3797095,'-,'-,IL12A-AS1,"Celiac disease","celiac disease",'-,GCST009874,3:159929885
rs3190930-<b>T</b>,"2 x 10-20",,'-,1.2111726,'-,'-,PTPRK,"Celiac disease","celiac disease",'-,GCST009874,6:127970054
rs41432345-<b>C</b>,"2 x 10-19",,'-,1.3497887,'-,'-,CCR3,"Celiac disease","celiac disease",'-,GCST009874,3:46208883
rs12619531-<b>G</b>,"4 x 10-19",,'-,1.175986,'-,'-,LINC01934,"Celiac disease","celiac disease",'-,GCST009874,2:181192913
rs3184504-<b>?</b>,"1 x 10-17",,'-,1.1699768,'-,'-,"ATXN2, SH2B3","Celiac disease","celiac disease",'-,GCST009874,12:111446804
rs10469840-<b>T</b>,"2 x 10-16",,'-,1.1902305,'-,'-,SLC9A4,"Celiac disease","celiac disease",'-,GCST009874,2:102476784
rs1353248-<b>?</b>,"5 x 10-16",,'-,1.1798072,'-,'-,IL12A-AS1,"Celiac disease","celiac disease",'-,GCST009874,3:159905770
rs1250568-<b>?</b>,"1 x 10-14",,'-,1.1538163,'-,'-,ZMIZ1,"Celiac disease","celiac disease",'-,GCST009874,10:79285523
rs4560096-<b>G</b>,"2 x 10-13",,'-,1.1451596,'-,'-,PUS10,"Celiac disease","celiac disease",'-,GCST009874,2:60977782
rs1359062-<b>?</b>,"4 x 10-30",,'-,1.3264511,'-,'-,RGS1,"Celiac disease","celiac disease",'-,GCST009874,1:192572342
rs61907765-<b>T</b>,"2 x 10-13",,'-,1.1712317,'-,'-,ETS1,"Celiac disease","celiac disease",'-,GCST009874,11:128522042
rs60600003-<b>G</b>,"4 x 10-13",,'-,1.2354879,'-,'-,ELMO1,"Celiac disease","celiac disease",'-,GCST009874,7:37342861
rs2542148-<b>C</b>,"8 x 10-12",,'-,1.1785113,'-,'-,"LINC01882, PTPN2","Celiac disease","celiac disease",'-,GCST009874,18:12777574
rs212407-<b>G</b>,"1 x 10-11",,'-,1.1342878,'-,'-,TAGAP-AS1,"Celiac disease","celiac disease",'-,GCST009874,6:159049385
rs10912267-<b>?</b>,"1 x 10-11",,'-,1.1871982,'-,'-,"FASLG, SLC25A38P1","Celiac disease","celiac disease",'-,GCST009874,1:172705636
rs7426056-<b>A</b>,"2 x 10-11",,'-,1.1509169,'-,'-,"KRT18P39, CD28","Celiac disease","celiac disease",'-,GCST009874,2:203747335
rs10892299-<b>?</b>,"2 x 10-11",,'-,1.1708161,'-,'-,"CXCR5, Y_RNA","Celiac disease","celiac disease",'-,GCST009874,11:118856134
rs74643882-<b>T</b>,"4 x 10-11",,'-,1.6147691,'-,'-,KIAA1109,"Celiac disease","celiac disease",'-,GCST009874,4:122345366
rs1893592-<b>?</b>,"9 x 10-11",,'-,1.1420285,'-,'-,UBASH3A,"Celiac disease","celiac disease",'-,GCST009874,21:42434957
rs11712165-<b>G</b>,"4 x 10-10",,'-,1.1212375,'-,'-,ARHGAP31,"Celiac disease","celiac disease",'-,GCST009874,3:119399949
rs3087243-<b>?</b>,"5 x 10-10",,'-,1.1201224,'-,'-,"ICOS, CTLA4","Celiac disease","celiac disease",'-,GCST009874,2:203874196
rs7104791-<b>T</b>,"8 x 10-10",,'-,1.1429985,'-,'-,"MIR4491, COLCA2","Celiac disease","celiac disease",'-,GCST009874,11:111326133
rs6691768-<b>?</b>,"1 x 10-9",,'-,1.1220081,'-,'-,NFIA,"Celiac disease","celiac disease",'-,GCST009874,1:61326191
rs66534072-<b>G</b>,"1 x 10-9",,'-,1.155583,'-,'-,UBE2L3,"Celiac disease","celiac disease",'-,GCST009874,22:21581863
rs6749371-<b>?</b>,"7 x 10-9",,'-,1.2320741,'-,'-,STAT4,"Celiac disease","celiac disease",'-,GCST009874,2:191037458
rs12132349-<b>?</b>,"8 x 10-9",,'-,1.1243252,'-,'-,INAVA,"Celiac disease","celiac disease",'-,GCST009874,1:200906114
rs6664969-<b>?</b>,"1 x 10-8",,'-,1.1169313,'-,'-,MMEL1,"Celiac disease","celiac disease",'-,GCST009874,1:2603539
rs13415465-<b>?</b>,"1 x 10-7",,'-,1.1053423,'-,'-,AFF3,"Celiac disease","celiac disease",'-,GCST009874,2:100147542
rs947474-<b>?</b>,"2 x 10-7",,'-,1.1307374,'-,'-,LINC02649,"Celiac disease","celiac disease",'-,GCST009874,10:6348488
rs11757201-<b>C</b>,"4 x 10-7",,'-,1.223361,'-,'-,LINC02539,"Celiac disease","celiac disease",'-,GCST009874,6:137682685
rs72928038-<b>A</b>,"4 x 10-7",,'-,1.1287999,'-,'-,BACH2,"Celiac disease","celiac disease",'-,GCST009874,6:90267049
rs34593439-<b>A</b>,"2 x 10-6",,'-,1.1450393,'-,'-,CTSH,"Celiac disease","celiac disease",'-,GCST009874,15:78942615
rs2812378-<b>G</b>,"5 x 10-6",,'-,1.091308,'-,'-,"CCL21, FAM205A","Celiac disease","celiac disease",'-,GCST009874,9:34710263
rs2187668-<b>A</b>,"1 x 10-19",,0.14,7.04,'-,[6.08-8.15],HLA-DQA1,"Celiac disease","celiac disease",'-,GCST000048,6:32638107
rs6822844-<b>G</b>,"1 x 10-14",,0.82,1.59,'-,[1.41-1.75],IL21,"Celiac disease","celiac disease",'-,GCST000048,4:122588266
rs5979785-<b>?</b>,"6 x 10-8",,0.74,1.14,'-,[1.09-1.19],"TMSB4X, TLR8","Celiac disease","celiac disease",'-,GCST000612,X:12953405
rs12727642-<b>A</b>,"9 x 10-8",,0.19,1.14,'-,[1.09-1.20],"ERRFI1, PARK7","Celiac disease","celiac disease",'-,GCST000612,1:7986612
rs1464510-<b>A</b>,"3 x 10-40",,0.49,1.29,'-,[1.25-1.34],LPP,"Celiac disease","celiac disease",'-,GCST000612,3:188394766
rs1738074-<b>A</b>,"3 x 10-15",,0.43,1.16,'-,[1.12-1.21],"TAGAP-AS1, TAGAP","Celiac disease","celiac disease",'-,GCST000612,6:159044945
rs6974491-<b>A</b>,"2 x 10-7",,0.17,1.14,'-,[1.09-1.20],ELMO1,"Celiac disease","celiac disease",'-,GCST000612,7:37334906
rs10936599-<b>A</b>,"5 x 10-7",,0.25,1.12,'-,[1.07-1.16],MYNN,"Celiac disease","celiac disease",'-,GCST000612,3:169774313
rs2762051-<b>A</b>,"7 x 10-7",,0.18,1.13,'-,[1.08-1.18],DLEU1,"Celiac disease","celiac disease",'-,GCST000612,13:50261579
