"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs2645453-<b>G</b>,"6 x 10-9",,NR,'-,"0.0101 unit decrease",[0.0067-0.0135],"GATA4, NEIL2","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:11764492
rs11774221-<b>A</b>,"6 x 10-9",,NR,'-,"0.010021 unit increase",[0.0066-0.0134],MSRA,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:10388278
rs12680442-<b>C</b>,"6 x 10-9",,NR,'-,"0.0099667 unit decrease",[0.0066-0.0133],"TNKS, MIR124-1HG","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:9865444
rs2921098-<b>G</b>,"7 x 10-9",,NR,'-,"0.010057 unit increase",[0.0067-0.0135],RN7SL178P,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:8508736
rs4504641-<b>A</b>,"7 x 10-9",,NR,'-,"0.01002 unit decrease",[0.0066-0.0134],RN7SL178P,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:8518689
rs6601295-<b>A</b>,"7 x 10-9",,NR,'-,"0.010183 unit decrease",[0.0067-0.0136],"RNU6-1151P, PPP1R3B","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:9234041
rs920050-<b>C</b>,"7 x 10-9",,NR,'-,"0.010026 unit increase",[0.0066-0.0134],LINC00529,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:11250959
rs9969423-<b>A</b>,"8 x 10-9",,NR,'-,"0.010061 unit increase",[0.0066-0.0135],FAM167A-AS1,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:11398066
rs10106565-<b>C</b>,"9 x 10-9",,NR,'-,"0.010051 unit increase",[0.0066-0.0135],"RPL10P19, ERI1","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:8997522
rs10100215-<b>G</b>,"9 x 10-9",,NR,'-,"0.01001 unit decrease",[0.0066-0.0134],BLK,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:11504763
rs4515509-<b>A</b>,"1 x 10-8",,NR,'-,"0.0099722 unit decrease",[0.0066-0.0134],MTMR9,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:11314614
rs10086500-<b>A</b>,"1 x 10-8",,NR,'-,"0.009962 unit decrease",[0.0065-0.0134],"DEFB136, DEFB135","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:11981423
rs2409836-<b>T</b>,"1 x 10-8",,NR,'-,"0.0099608 unit decrease",[0.0065-0.0134],FDFT1,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:11831719
rs34599909-<b>G</b>,"1 x 10-8",,NR,'-,"0.0098743 unit decrease",[0.0065-0.0133],MFHAS1,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:8879375
rs11776845-<b>T</b>,"1 x 10-8",,NR,'-,"0.009893 unit increase",[0.0065-0.0133],"CLDN23, MFHAS1","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:8746674
rs17150537-<b>C</b>,"1 x 10-8",,NR,'-,"0.0099119 unit decrease",[0.0065-0.0133],"MIR124-1HG, TNKS","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:9826689
rs4401911-<b>G</b>,"1 x 10-8",,NR,'-,"0.009956 unit increase",[0.0065-0.0134],"LINCR-0001, MSRA","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:10449418
rs1962392-<b>C</b>,"1 x 10-8",,NR,'-,"0.0098498 unit increase",[0.0064-0.0133],MSRA,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:10404863
rs7819276-<b>T</b>,"2 x 10-8",,NR,'-,"0.0098377 unit increase",[0.0064-0.0132],"OR7E158P, CTSB","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:11898295
rs6998387-<b>G</b>,"2 x 10-8",,NR,'-,"0.0098122 unit decrease",[0.0064-0.0132],"FAM167A-AS1, FAM167A","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:11435949
rs34801597-<b>G</b>,"2 x 10-8",,NR,'-,"0.0097818 unit decrease",[0.0064-0.0132],FAM167A,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:11468984
rs4841356-<b>C</b>,"2 x 10-8",,NR,'-,"0.0097412 unit increase",[0.0063-0.0131],LINCR-0001,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:10477184
rs10429305-<b>G</b>,"2 x 10-8",,NR,'-,"0.0097524 unit increase",[0.0063-0.0132],"MSRA, LINCR-0001","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:10429001
rs7837520-<b>A</b>,"2 x 10-8",,NR,'-,"0.0096799 unit decrease",[0.0063-0.0131],"MSRA, LINCR-0001","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:10442622
rs6990912-<b>A</b>,"2 x 10-8",,NR,'-,"0.0097097 unit increase",[0.0063-0.0131],"RNU6-1151P, RNU6-526P","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:9342962
rs4076425-<b>G</b>,"2 x 10-9",,NR,'-,"0.010414 unit increase",[0.007-0.0138],XKR6,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:11022347
rs56135405-<b>A</b>,"2 x 10-9",,NR,'-,"0.010301 unit decrease",[0.0069-0.0137],"ERI1, PPP1R3B","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:9117163
rs2264306-<b>G</b>,"2 x 10-9",,NR,'-,"0.010386 unit increase",[0.007-0.0138],BLK,"General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:11530940
rs17184083-<b>G</b>,"2 x 10-9",,NR,'-,"0.010217 unit increase",[0.0069-0.0136],"MSRA, LINCR-0001","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:10434422
rs427731-<b>A</b>,"3 x 10-9",,NR,'-,"0.010303 unit increase",[0.0069-0.0137],"RNU6-1151P, RNU6-526P","General factor of neuroticism","neuroticism measurement",'-,GCST007709,8:9308144
