"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs186507655-<b>A</b>,"5 x 10-10","(subset analysis)",NR,'-,'-,'-,"MXRA8, DVL1","Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,1:1351675
rs2075570-<b>T</b>,"5 x 10-6","(subset analysis)",NR,'-,'-,'-,MTX1,"Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,1:155212373
rs481519-<b>T</b>,"2 x 10-9","(subset analysis)",NR,'-,'-,'-,NEK10,"Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,3:27285723
rs7679673-<b>A</b>,"1 x 10-10","(subset analysis)",NR,'-,'-,'-,"RNU6-351P, TET2","Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,4:105140377
rs7725218-<b>A</b>,"2 x 10-10","(subset analysis)",NR,'-,'-,'-,TERT,"Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,5:1282299
rs1862626-<b>T</b>,"4 x 10-12","(subset analysis)",NR,'-,'-,'-,MAP3K1,"Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,5:56737113
rs147680653-<b>G</b>,"1 x 10-6","(subset analysis)",NR,'-,'-,'-,"IFITM4P, HLA-V","Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,6:29785031
rs115707823-<b>A</b>,"5 x 10-7","(subset analysis)",NR,'-,'-,'-,"UBQLN1P1, MICC","Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,6:30374976
rs115392158-<b>G</b>,"3 x 10-7","(subset analysis)",NR,'-,'-,'-,"HLA-B, LINC02571","Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,6:31347004
rs147527678-<b>C</b>,"6 x 10-8","(subset analysis)",NR,'-,'-,'-,"MTCO3P1, HLA-DQB1","Cancer (pleiotropy)","lung carcinoma, estrogen-receptor negative breast cancer, colorectal cancer, ovarian endometrioid carcinoma, prostate carcinoma, ovarian serous carcinoma, breast carcinoma, ovarian carcinoma, lung adenocarcinoma, squamous cell lung carcinoma",'-,GCST003588,6:32699696
