"","VariantID","DISEASE/TRAIT","MAPPED_GENE","CONTEXT","INTERGENIC","RISK ALLELE FREQUENCY","MAPPED_TRAIT","EnsVar_most_severe_consequence","Parent term","monogenic_searched_resource","monogenic_disease_name"
"1","rs1078793","Age at loss of ambulation in Duchenne muscular dystrophy","NA - RAMP3","regulatory_region_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","regulatory_region_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"2","rs1078793","Age at loss of ambulation in Duchenne muscular dystrophy","NA - RAMP3","regulatory_region_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","regulatory_region_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"3","rs11017928","Age at loss of ambulation in Duchenne muscular dystrophy","DOCK1","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"4","rs11017928","Age at loss of ambulation in Duchenne muscular dystrophy","DOCK1","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"5","rs11641605","Age at loss of ambulation in Duchenne muscular dystrophy","LINC02141","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"6","rs11641605","Age at loss of ambulation in Duchenne muscular dystrophy","LINC02141","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"7","rs12196063","Age at loss of ambulation in Duchenne muscular dystrophy","PREP - NA","intron_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"8","rs12196063","Age at loss of ambulation in Duchenne muscular dystrophy","PREP - NA","intron_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"9","rs12451924","Age at loss of ambulation in Duchenne muscular dystrophy","SLFN12L","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"10","rs12451924","Age at loss of ambulation in Duchenne muscular dystrophy","SLFN12L","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"11","rs12524310","Age at loss of ambulation in Duchenne muscular dystrophy","Y_RNA - NA","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"12","rs12524310","Age at loss of ambulation in Duchenne muscular dystrophy","Y_RNA - NA","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"13","rs12524310","Age at loss of ambulation in Duchenne muscular dystrophy","Y_RNA - NA","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"14","rs12524310","Age at loss of ambulation in Duchenne muscular dystrophy","Y_RNA - NA","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"15","rs12524310","Age at loss of ambulation in Duchenne muscular dystrophy","Y_RNA - NA","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"16","rs12524310","Age at loss of ambulation in Duchenne muscular dystrophy","Y_RNA - NA","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"17","rs12524310","Age at loss of ambulation in Duchenne muscular dystrophy","Y_RNA - NA","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"18","rs12524310","Age at loss of ambulation in Duchenne muscular dystrophy","Y_RNA - NA","intergenic_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","intergenic_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"19","rs12547243","Age at loss of ambulation in Duchenne muscular dystrophy","ADCY8","splice_region_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","splice_region_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"20","rs12547243","Age at loss of ambulation in Duchenne muscular dystrophy","ADCY8","splice_region_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","splice_region_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"21","rs12547243","Age at loss of ambulation in Duchenne muscular dystrophy","ADCY8","splice_region_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","splice_region_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"22","rs12547243","Age at loss of ambulation in Duchenne muscular dystrophy","ADCY8","splice_region_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","splice_region_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"23","rs1426040","Age at loss of ambulation in Duchenne muscular dystrophy","CLSTN2","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"24","rs1426040","Age at loss of ambulation in Duchenne muscular dystrophy","CLSTN2","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"25","rs149640","Age at loss of ambulation in Duchenne muscular dystrophy","RGS6","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"26","rs149640","Age at loss of ambulation in Duchenne muscular dystrophy","RGS6","intron_variant",0,"NR","Duchenne muscular dystrophy, disease progression measurement","intron_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"27","rs1698919","Age at loss of ambulation in Duchenne muscular dystrophy","","regulatory_region_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","regulatory_region_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"28","rs1698919","Age at loss of ambulation in Duchenne muscular dystrophy","","regulatory_region_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","regulatory_region_variant","Other measurement","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
"29","rs1698919","Age at loss of ambulation in Duchenne muscular dystrophy","","regulatory_region_variant",1,"NR","Duchenne muscular dystrophy, disease progression measurement","regulatory_region_variant","Cardiovascular disease","A. Nesterova, Monogenic rare diseases in biomedical databases and text mining","SEE DISEASE/TRAIT"
