"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs6820205-<b>T</b>,"1 x 10-6",,0.078,1.713,'-,[1.38-2.05],MTNR1A,"Prostate cancer","prostate cancer",'-,GCST90101894,4:186543713
rs4710983-<b>C</b>,"7 x 10-7",,0.822,0.717,'-,[0.63-0.81],CASC15,"Prostate cancer","prostate cancer",'-,GCST90101894,6:21733971
rs3848597-<b>G</b>,"3 x 10-6",,0.654,1.328,'-,[1.18-1.48],WDR88,"Prostate cancer","prostate cancer",'-,GCST90101894,19:33144947
rs188140481-<b>A</b>,"3 x 10-34",,0.004982,'-,"1.63 unit increase",[1.37-1.89],"PCAT1, CASC19","ICD10 C61: Malignant neoplasm of prostate","prostate cancer",'-,GCST90043894,8:127179427
rs138213197-<b>T</b>,"2 x 10-29",,0.001589,'-,"2.76 unit increase",[2.28-3.24],HOXB13,"ICD10 C61: Malignant neoplasm of prostate","prostate cancer",'-,GCST90043894,17:48728343
rs141179786-<b>?</b>,"9 x 10-7",,0.02,2.5,'-,[1.3-25],LINC01919,"Benign prostatic hyperplasia","benign prostatic hyperplasia",'-,GCST008169,18:53662174
rs2710383-<b>?</b>,"5 x 10-7",,0.88,1.4492754,'-,[1.2-1.82],SYN3,"Benign prostatic hyperplasia","benign prostatic hyperplasia",'-,GCST008169,22:32554983
rs4239633-<b>?</b>,"5 x 10-7",,0.69,1.25,'-,[1.14-1.41],UNC13A,"Benign prostatic hyperplasia","benign prostatic hyperplasia",'-,GCST008169,19:17631660
rs36067435-<b>?</b>,"1 x 10-6",,0.35,1.2048193,'-,[1.1-1.33],ELOVL6,"Benign prostatic hyperplasia","benign prostatic hyperplasia",'-,GCST008169,4:110180391
rs6078585-<b>T</b>,"1 x 10-6",,0.54,1.2,'-,[1.12-1.27],PA2G4P2,"Benign prostatic hyperplasia","benign prostatic hyperplasia",'-,GCST008169,20:12447612
rs534957-<b>C</b>,"5 x 10-7",,0.35,1.26,'-,[1.17-1.36],GCLC,"Benign prostatic hyperplasia","benign prostatic hyperplasia",'-,GCST008169,6:53541553
rs141179786-<b>?</b>,"9 x 10-7",(EA),0.02,2.5,'-,[1.3-25],LINC01919,"Benign prostatic hyperplasia","benign prostatic hyperplasia",'-,GCST008169,18:53662174
rs2710383-<b>?</b>,"5 x 10-7",(EA),0.88,1.4492754,'-,[NR],SYN3,"Benign prostatic hyperplasia","benign prostatic hyperplasia",'-,GCST008169,22:32554983
rs4239633-<b>?</b>,"6 x 10-7",(EA),0.68,1.2658228,'-,[1.12-1.43],UNC13A,"Benign prostatic hyperplasia","benign prostatic hyperplasia",'-,GCST008169,19:17631660
rs11793639-<b>?</b>,"2 x 10-6",(EA),0.77,1.2345679,'-,[1.11-1.37],"RNU6-710P, UGCG","Benign prostatic hyperplasia","benign prostatic hyperplasia",'-,GCST008169,9:111968704
rs6078585-<b>T</b>,"2 x 10-6",(EA),0.55,1.2,'-,[1.12-1.27],PA2G4P2,"Benign prostatic hyperplasia","benign prostatic hyperplasia",'-,GCST008169,20:12447612
rs10786938-<b>T</b>,"4 x 10-7",(EA),0.71,1.23,'-,[1.15-1.31],LINC02624,"Benign prostatic hyperplasia","benign prostatic hyperplasia",'-,GCST008169,10:106280012
rs534957-<b>C</b>,"5 x 10-6",(EA),0.35,1.24,'-,NR,GCLC,"Benign prostatic hyperplasia","benign prostatic hyperplasia",'-,GCST008169,6:53541553
rs188140481-<b>A</b>,"8 x 10-25",,0.005207,'-,"0.64 unit increase",[0.52-0.76],"PCAT1, CASC19","Illnesses of father: Prostate cancer (UKB data field 20107_13)","prostate cancer, family history",'-,GCST90042670,8:127179427
rs138213197-<b>T</b>,"3 x 10-9",,0.001682,'-,"0.64 unit increase",[0.43-0.85],HOXB13,"Illnesses of father: Prostate cancer (UKB data field 20107_13)","prostate cancer, family history",'-,GCST90042670,17:48728343
rs77112978-<b>G</b>,"3 x 10-8",,0.048,1.47,'-,[1.28-1.68],"HMGN1P30, LINC01897","Conversion from active surveillance to active treatment in prostate cancer","prostate cancer, disease progression measurement",'-,GCST90096811,18:57982931
rs55850837-<b>A</b>,"4 x 10-8",,0.05,1.45,'-,[1.27-1.65],"CDH20, HMGN1P31","Conversion from active surveillance to active treatment in prostate cancer","prostate cancer, disease progression measurement",'-,GCST90096811,18:60912659
rs17878533-<b>A</b>,"5 x 10-7",,0.651,1.2,'-,[1.12-1.28],IL12RB1,"Conversion from active surveillance to active treatment in prostate cancer","prostate cancer, disease progression measurement",'-,GCST90096811,19:18062031
rs74874116-<b>T</b>,"3 x 10-7",,0.028,1.74,'-,[1.41-2.15],"RBBP8NL, GATA5","Conversion from active surveillance to active treatment in prostate cancer","prostate cancer, disease progression measurement",'-,GCST90096811,20:62458650
rs1404610-<b>G</b>,"5 x 10-10",,0.012,3.74,'-,[2.47-5.67],"LINC01101, Y_RNA","Conversion from active surveillance to active treatment in prostate cancer","prostate cancer, disease progression measurement",'-,GCST90096811,2:120533314
rs116419656-<b>G</b>,"2 x 10-8",,0.01,3.45,'-,[2.24-5.32],"ENPP7P2, LINC02018","Conversion from active surveillance to active treatment in prostate cancer","prostate cancer, disease progression measurement",'-,GCST90096811,3:75472204
