"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs11710497-<b>A</b>,"1 x 10-7",(mean),0.11,'-,"5.29 z-score decrease",'-,SLC6A1,"Longitudinal alcohol consumption","longitudinal alcohol consumption measurement",'-,GCST002981,3:11004210
rs12257178-<b>A</b>,"5 x 10-7",(trajectory),0.39,'-,"5.04 z-score decrease",'-,BTBD7P2,"Longitudinal alcohol consumption","longitudinal alcohol consumption measurement",'-,GCST002981,10:111256470
rs694424-<b>G</b>,"5 x 10-7",(trajectory),0.12,'-,"5.01 z-score decrease",'-,IGSF9B,"Longitudinal alcohol consumption","longitudinal alcohol consumption measurement",'-,GCST002981,11:133954644
rs1984450-<b>A</b>,"3 x 10-7",(trajectory),0.1,'-,"5.15 z-score decrease",'-,ZNF578,"Longitudinal alcohol consumption","longitudinal alcohol consumption measurement",'-,GCST002981,19:52510546
rs4898641-<b>G</b>,"1 x 10-6",(mean),0.06,'-,"4.88 z-score decrease",'-,MIPOL1,"Longitudinal alcohol consumption","longitudinal alcohol consumption measurement",'-,GCST002981,14:37544582
rs7031417-<b>C</b>,"1 x 10-8",(mean),0.07,'-,"5.68 z-score decrease",'-,SPATA31C2,"Longitudinal alcohol consumption","longitudinal alcohol consumption measurement",'-,GCST002981,9:88211338
rs2817866-<b>?</b>,"2 x 10-6",,NR,'-,"0.05 unit decrease",[0.028-0.072],PTGER3,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST012336,1:71037764
rs1260326-<b>?</b>,"1 x 10-11",,NR,'-,"0.073 unit decrease",[0.051-0.095],GCKR,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST012336,2:27508073
rs13415134-<b>?</b>,"2 x 10-8",,NR,'-,"0.059 unit increase",[0.037-0.081],LRPPRC,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST012336,2:43951639
rs504675-<b>?</b>,"6 x 10-9",,NR,'-,"0.064 unit decrease",[0.042-0.086],LINC01833,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST012336,2:44927550
rs28712821-<b>?</b>,"1 x 10-19",,NR,'-,"0.098 unit decrease",[0.076-0.12],KLB,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST012336,4:39412160
rs1229984-<b>?</b>,"2 x 10-65",,NR,'-,"0.592 unit decrease",[0.52-0.66],ADH1B,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST012336,4:99318162
rs13107325-<b>?</b>,"4 x 10-14",,NR,'-,"0.153 unit increase",[0.11-0.19],SLC39A8,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST012336,4:102267552
rs7105867-<b>?</b>,"1 x 10-6",,NR,'-,"0.066 unit increase",[0.041-0.091],ANO3,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST012336,11:26266110
rs11039216-<b>?</b>,"2 x 10-8",,NR,'-,"0.058 unit decrease",[0.036-0.08],"SPI1, MIR4487","Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST012336,11:47385041
rs17601612-<b>?</b>,"5 x 10-7",,NR,'-,"0.053 unit increase",[0.031-0.075],DRD2,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST012336,11:113447023
rs62062288-<b>?</b>,"2 x 10-14",,NR,'-,"0.097 unit increase",[0.072-0.122],MAPT,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST012336,17:46019187
rs646327-<b>?</b>,"3 x 10-9",,NR,'-,"0.063 unit decrease",[0.041-0.085],"MAMSTR, FUT2","Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST012336,19:48706594
rs4423856-<b>T</b>,"1 x 10-8",,0.796,'-,"5.66 z score increase",NR,DCLK2,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,4:150063705
rs2961816-<b>A</b>,"1 x 10-8",,0.683,'-,"5.74 z score increase",NR,"RNU6-1296P, RNU6-480P","Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,5:51147857
rs4841132-<b>A</b>,"4 x 10-8",,0.101,'-,"5.46 z score increase",NR,"RNU6-526P, RNU6-1151P","Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,8:9326086
rs62033408-<b>A</b>,"1 x 10-19",,0.678,'-,"9.08 z score increase",NR,FTO,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,16:53794050
rs9902512-<b>C</b>,"6 x 10-9",,0.664,'-,"5.81 z score decrease",NR,IGF2BP1,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,17:49016912
rs142997686-<b>?</b>,"5 x 10-9",,0.384,'-,"5.84 z score increase",NR,BAHCC1,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,17:81452134
rs75723348-<b>T</b>,"1 x 10-8",,0.736,'-,"5.55 z score increase",NR,"RBX1, Y_RNA","Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,22:41024675
rs1260326-<b>C</b>,"2 x 10-16",(EA),0.591,'-,"0.04477 unit increase",[0.034-0.055],GCKR,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,2:27508073
rs2717071-<b>A</b>,"1 x 10-9",(EA),0.628,'-,"0.03377 unit increase",[0.023-0.045],ACTG1P22,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,2:57803827
rs12639940-<b>A</b>,"3 x 10-9",(EA),0.614,'-,"0.03295 unit increase",[0.022-0.044],KLB,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,4:39419361
rs1229984-<b>C</b>,"5 x 10-102",(EA),0.97,'-,"0.3402 unit increase",[0.31-0.37],ADH1B,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,4:99318162
rs1229978-<b>C</b>,"1 x 10-14",(EA),0.403,'-,"0.04224 unit increase",[0.031-0.053],ADH1B,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,4:99335042
rs13107325-<b>C</b>,"1 x 10-25",(EA),0.921,'-,"0.1034 unit increase",[0.084-0.123],SLC39A8,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,4:102267552
rs62339861-<b>C</b>,"3 x 10-8",(EA),0.792,'-,"0.03685 unit increase",[0.024-0.05],DCLK2,"Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,4:150062269
rs2961817-<b>A</b>,"7 x 10-9",(EA),0.657,'-,"0.03316 unit increase",[0.022-0.044],"RNU6-1296P, RNU6-480P","Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,5:51147229
rs185177474-<b>A</b>,"2 x 10-8",(EA),0.031,'-,"0.0887 unit increase",[0.058-0.12],"RN7SKP246, KCTD16","Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,5:144509770
rs12425096-<b>A</b>,"5 x 10-8",(EA),0.775,'-,"0.0349 unit increase",[0.022-0.047],"SLC4A8, SCN8A","Alcohol use disorder (consumption score)","alcohol use disorder measurement, longitudinal alcohol consumption measurement",'-,GCST008258,12:51586675
