"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs11137048-<b>?</b>,"3 x 10-7",,NR,'-,'-,'-,MCPH1-AS1,"Asthma x air pollution interaction (2df)","asthma, traffic air pollution measurement",'-,GCST009435,8:6668487
rs6866110-<b>?</b>,"3 x 10-7",,NR,'-,'-,'-,"ARHGEF37, U3","Asthma x air pollution interaction (2df)","asthma, traffic air pollution measurement",'-,GCST009435,5:149646839
rs62227671-<b>?</b>,"6 x 10-9",,NR,'-,'-,'-,PARVB,"Asthma x air pollution interaction (2df)","asthma, traffic air pollution measurement",'-,GCST009435,22:44111992
rs6122625-<b>?</b>,"6 x 10-8",,NR,'-,'-,'-,"SRMP1, RNU7-173P","Asthma x air pollution interaction (2df)","asthma, traffic air pollution measurement",'-,GCST009435,20:47844694
rs57504074-<b>?</b>,"3 x 10-7",,NR,'-,'-,'-,TMEM163,"Asthma x air pollution interaction (2df)","asthma, traffic air pollution measurement",'-,GCST009435,2:134489652
rs883398-<b>A</b>,"2 x 10-6",,NR,'-,"0.98 unit decrease",'-,LINC01739,"Post-bronchodilator FEV1 x air pollution (CO) interaction in childhood asthma","forced expiratory volume, traffic air pollution measurement","childhood onset asthma",GCST008272,1:63023669
rs4915866-<b>G</b>,"6 x 10-6",,NR,'-,"0.94 unit decrease",'-,LINC01739,"Post-bronchodilator FEV1 x air pollution (CO) interaction in childhood asthma","forced expiratory volume, traffic air pollution measurement","childhood onset asthma",GCST008272,1:63022557
rs1861415-<b>A</b>,"9 x 10-6",,NR,'-,"0.82 unit increase",'-,LINC01122,"Post-bronchodilator FEV1 x air pollution (CO) interaction in childhood asthma","forced expiratory volume, traffic air pollution measurement","childhood onset asthma",GCST008272,2:58626423
rs6569651-<b>C</b>,"9 x 10-6",,NR,'-,"0.88 unit increase",'-,L3MBTL3,"Post-bronchodilator FEV1 x air pollution (CO) interaction in childhood asthma","forced expiratory volume, traffic air pollution measurement","childhood onset asthma",GCST008272,6:130082936
rs2403547-<b>A</b>,"6 x 10-6",,NR,'-,"0.79 unit increase",'-,NAV2,"Post-bronchodilator FEV1 x air pollution (CO) interaction in childhood asthma","forced expiratory volume, traffic air pollution measurement","childhood onset asthma",GCST008272,11:19966866
rs1986254-<b>G</b>,"8 x 10-6",,NR,'-,"0.83 unit increase",'-,NAV2,"Post-bronchodilator FEV1 x air pollution (CO) interaction in childhood asthma","forced expiratory volume, traffic air pollution measurement","childhood onset asthma",GCST008272,11:19972258
rs13090972-<b>T</b>,"1 x 10-6",(EA),'-,'-,"1.33 unit decrease",'-,"GAPDHP50, ICE2P2","Post-bronchodilator FEV1 x air pollution (NO2) interaction in childhood asthma","forced expiratory volume, traffic air pollution measurement","childhood onset asthma",GCST008273,3:89027746
rs958144-<b>T</b>,"5 x 10-6",(EA),'-,'-,"1.28 unit decrease",'-,ICE2P2,"Post-bronchodilator FEV1 x air pollution (NO2) interaction in childhood asthma","forced expiratory volume, traffic air pollution measurement","childhood onset asthma",GCST008273,3:88945522
rs13157529-<b>T</b>,"6 x 10-6",(EA),'-,'-,"1.08 unit decrease",'-,FBXL17,"Post-bronchodilator FEV1 x air pollution (NO2) interaction in childhood asthma","forced expiratory volume, traffic air pollution measurement","childhood onset asthma",GCST008273,5:107985181
