"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs9481067-<b>G</b>,"1 x 10-6","(univariable, recessive)",'-,4.17,'-,[2.33-7.43],SLC22A16,"Mucinous adenocarcinoma in colorectal cancer","colorectal mucinous adenocarcinoma","colorectal cancer",GCST006411,6:110429349
rs10511330-<b>C</b>,"1 x 10-6","(multivariable, dominant)",'-,4.85,'-,[2.54-9.23],ZBTB20,"Mucinous adenocarcinoma in colorectal cancer","colorectal mucinous adenocarcinoma","colorectal cancer",GCST006411,3:114402172
rs16822593-<b>A</b>,"2 x 10-6","(multivariable, dominant)",'-,4.83,'-,[2.53-9.20],ZBTB20,"Mucinous adenocarcinoma in colorectal cancer","colorectal mucinous adenocarcinoma","colorectal cancer",GCST006411,3:114398480
rs13019215-<b>C</b>,"8 x 10-6","(multivariable, dominant)",'-,4.347826,'-,[2.33-8.33],CCDC141,"Mucinous adenocarcinoma in colorectal cancer","colorectal mucinous adenocarcinoma","colorectal cancer",GCST006411,2:178995835
rs12471607-<b>C</b>,"8 x 10-6","(multivariable, dominant)",'-,4.347826,'-,[2.33-8.33],CCDC141,"Mucinous adenocarcinoma in colorectal cancer","colorectal mucinous adenocarcinoma","colorectal cancer",GCST006411,2:179003258
rs716897-<b>T</b>,"5 x 10-6","(univariable, dominant)",'-,3.7037036,'-,[2.13-6.67],RASGRF2,"Mucinous adenocarcinoma in colorectal cancer","colorectal mucinous adenocarcinoma","colorectal cancer",GCST006411,5:81187755
rs4837345-<b>T</b>,"4 x 10-6","(univariable, recessive)",'-,4.72,'-,[2.40-9.05],"IER5L, PTPA","Mucinous adenocarcinoma in colorectal cancer","colorectal mucinous adenocarcinoma","colorectal cancer",GCST006411,9:129161670
rs10819474-<b>C</b>,"4 x 10-6","(univariable, recessive)",'-,4.72,'-,[2.40-9.05],"IER5L, PTPA","Mucinous adenocarcinoma in colorectal cancer","colorectal mucinous adenocarcinoma","colorectal cancer",GCST006411,9:129168215
rs11159673-<b>A</b>,"7 x 10-6","(univariable, additive)",NR,3.096,'-,[1.879-5.073],RNU6-976P,"Mucinous adenocarcinoma in colorectal cancer","colorectal mucinous adenocarcinoma","colorectal cancer",GCST006411,14:84647825
kgp4136779-<b>T</b>,"4 x 10-6","(univariable, recessive)",NR,4.721,'-,[2.403-9.052],'-,"Mucinous adenocarcinoma in colorectal cancer","colorectal mucinous adenocarcinoma","colorectal cancer",GCST006411,"Mapping not available"
rs1075650-<b>G</b>,"4 x 10-6","(univariable, recessive)",NR,4.721,'-,[2.403-9.052],IER5L,"Mucinous adenocarcinoma in colorectal cancer","colorectal mucinous adenocarcinoma","colorectal cancer",GCST006411,9:129176634
rs6596805-<b>G</b>,"6 x 10-6","(univariable, recessive)",NR,3.862,'-,[2.139-6.908],FOXQ1,"Mucinous adenocarcinoma in colorectal cancer","colorectal mucinous adenocarcinoma","colorectal cancer",GCST006411,6:1294916
rs11047047-<b>G</b>,"6 x 10-6","(univariable, recessive)",NR,3.734,'-,[2.104-6.613],SOX5,"Mucinous adenocarcinoma in colorectal cancer","colorectal mucinous adenocarcinoma","colorectal cancer",GCST006411,12:23683278
