"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs2249296-<b>C</b>,"1 x 10-6","(Ileal involvement)",0.78,1.69,'-,[1.35-2.13],CLCA2,"Crohn's disease-related phenotypes","ileocolitis, Crohn's disease",'-,GCST002729,1:86444581
rs2187668-<b>?</b>,"2 x 10-11",,0.126,2.06,'-,[1.67-2.55],HLA-DQA1,"Collagenous colitis","collagenous colitis",'-,GCST005879,6:32638107
rs9868898-<b>G</b>,"2 x 10-6","(Perianal disease)",0.16,1.49,'-,[1.26-1.76],"PLCXD2, PHLDB2","Crohn's disease-related phenotypes","perianal Crohn's disease",'-,GCST002729,3:111762099
rs9271366-<b>C</b>,"2 x 10-70","(UC vs. CD)",0.21,4.44,'-,[3.74-5.27],"HLA-DQA1, HLA-DRB1","Ulcerative colitis or Crohn's disease","ulcerative colitis, Crohn's disease",'-,GCST001118,6:32619077
rs2006996-<b>T</b>,"4 x 10-13","(UC vs. CD)",0.47,1.67,'-,[1.47-1.92],"TNFSF15, DELEC1","Ulcerative colitis or Crohn's disease","ulcerative colitis, Crohn's disease",'-,GCST001118,9:114830358
rs4957294-<b>?</b>,"8 x 10-13",,NR,'-,"0.043 unit increase",NR,TTC33,"Crohn's disease vs ulcerative colitis (ordinary least squares (OLS))","ulcerative colitis, Crohn's disease",'-,GCST90016611,5:40446447
rs77150043-<b>?</b>,"5 x 10-6",,NR,'-,"0.028 unit increase",NR,ADCY7,"Crohn's disease vs ulcerative colitis (ordinary least squares (OLS))","ulcerative colitis, Crohn's disease",'-,GCST90016611,16:50270338
rs2076756-<b>?</b>,"5 x 10-29",,NR,'-,"0.068 unit increase",NR,NOD2,"Crohn's disease vs ulcerative colitis (ordinary least squares (OLS))","ulcerative colitis, Crohn's disease",'-,GCST90016611,16:50722970
rs6426833-<b>?</b>,"3 x 10-18",,NR,'-,"0.053 unit decrease",NR,"RNF186, OTUD3","Crohn's disease vs ulcerative colitis (ordinary least squares (OLS))","ulcerative colitis, Crohn's disease",'-,GCST90016611,1:19845367
rs1977160-<b>?</b>,"1 x 10-17",,NR,'-,"0.052 unit decrease",NR,"IL23R, C1orf141","Crohn's disease vs ulcerative colitis (ordinary least squares (OLS))","ulcerative colitis, Crohn's disease",'-,GCST90016611,1:67202253
rs2476601-<b>?</b>,"3 x 10-9",,NR,'-,"0.036 unit increase",NR,PTPN22,"Crohn's disease vs ulcerative colitis (ordinary least squares (OLS))","ulcerative colitis, Crohn's disease",'-,GCST90016611,1:113834946
rs6704109-<b>?</b>,"6 x 10-6",,NR,'-,"0.027 unit increase",NR,AIMP1P2,"Crohn's disease vs ulcerative colitis (ordinary least squares (OLS))","ulcerative colitis, Crohn's disease",'-,GCST90016611,1:172887910
rs3792108-<b>?</b>,"4 x 10-17",,NR,'-,"0.051 unit increase",NR,ATG16L1,"Crohn's disease vs ulcerative colitis (ordinary least squares (OLS))","ulcerative colitis, Crohn's disease",'-,GCST90016611,2:233276306
rs885026-<b>?</b>,"8 x 10-10",,NR,0.78,'-,'-,NCOR2,"Crohn's disease vs ulcerative colitis","ulcerative colitis, Crohn's disease",'-,GCST90179177,12:124548243
rs9842650-<b>?</b>,"8 x 10-10",,NR,1.29,'-,'-,CD200,"Crohn's disease vs ulcerative colitis","ulcerative colitis, Crohn's disease",'-,GCST90179177,3:112350545
rs12543811-<b>?</b>,"2 x 10-7",,NR,0.82,'-,[0.76-0.88],"RNU6-1213P, MIR5708","Crohn's disease vs ulcerative colitis","ulcerative colitis, Crohn's disease",'-,GCST90179177,8:80366650
chr20:2374455-<b>?</b>,"3 x 10-6",,NR,'-,"0.00046 unit decrease",[0.00027-0.00065],'-,"Microscopic colitis","microscopic colitis",'-,GCST009081,"Mapping not available"
chr1:102300829-<b>?</b>,"1 x 10-6",,NR,'-,"0.00039 unit decrease",[0.00023-0.00055],'-,"Microscopic colitis","microscopic colitis",'-,GCST009081,"Mapping not available"
chr1:211852006-<b>?</b>,"7 x 10-6",,NR,'-,"0.000483 unit increase",[0.00027-0.00069],'-,"Microscopic colitis","microscopic colitis",'-,GCST009081,"Mapping not available"
chr2:29002900-<b>?</b>,"5 x 10-6",,NR,'-,"0.00088 unit decrease",[0.0005-0.00126],'-,"Microscopic colitis","microscopic colitis",'-,GCST009081,"Mapping not available"
chr2:44211546-<b>?</b>,"4 x 10-6",,NR,'-,"0.00031 unit decrease",[0.00018-0.00044],'-,"Microscopic colitis","microscopic colitis",'-,GCST009081,"Mapping not available"
chr3:21580556-<b>?</b>,"8 x 10-6",,NR,'-,"0.0009 unit decrease",[0.00051-0.00129],'-,"Microscopic colitis","microscopic colitis",'-,GCST009081,"Mapping not available"
chr4:24338324-<b>?</b>,"1 x 10-6",,NR,'-,"0.00038 unit decrease",[0.00023-0.00053],'-,"Microscopic colitis","microscopic colitis",'-,GCST009081,"Mapping not available"
chr4:108478191-<b>?</b>,"3 x 10-7",,NR,'-,"0.000448 unit increase",[0.00028-0.00062],'-,"Microscopic colitis","microscopic colitis",'-,GCST009081,"Mapping not available"
chr5:6222490-<b>?</b>,"5 x 10-6",,NR,'-,"0.00093 unit decrease",[0.00053-0.00133],'-,"Microscopic colitis","microscopic colitis",'-,GCST009081,"Mapping not available"
chr5:24256226-<b>?</b>,"4 x 10-6",,NR,'-,"0.00066 unit decrease",[0.00038-0.00094],'-,"Microscopic colitis","microscopic colitis",'-,GCST009081,"Mapping not available"
chr6:31355318-<b>?</b>,"3 x 10-8",,NR,'-,"0.00042 unit decrease",[0.00027-0.00057],'-,"Microscopic colitis","microscopic colitis",'-,GCST009081,"Mapping not available"
chr6:65350792-<b>?</b>,"3 x 10-6",,NR,'-,"0.000415 unit increase",[0.00024-0.00059],'-,"Microscopic colitis","microscopic colitis",'-,GCST009081,"Mapping not available"
chr6:104003704-<b>?</b>,"8 x 10-6",,NR,'-,"0.00057 unit decrease",[0.00032-0.00082],'-,"Microscopic colitis","microscopic colitis",'-,GCST009081,"Mapping not available"
chr6:106000790-<b>?</b>,"9 x 10-8",,NR,'-,"0.00082 unit decrease",[0.00052-0.00112],'-,"Microscopic colitis","microscopic colitis",'-,GCST009081,"Mapping not available"
chr7:25573204-<b>?</b>,"1 x 10-6",,NR,'-,"0.00039 unit decrease",[0.00023-0.00055],'-,"Microscopic colitis","microscopic colitis",'-,GCST009081,"Mapping not available"
chr7:47391321-<b>?</b>,"2 x 10-6",,NR,'-,"0.00092 unit decrease",[0.00055-0.00129],'-,"Microscopic colitis","microscopic colitis",'-,GCST009081,"Mapping not available"
chr8:12517525-<b>?</b>,"5 x 10-7",,NR,'-,"0.00097 unit decrease",[0.00059-0.00135],'-,"Microscopic colitis","microscopic colitis",'-,GCST009081,"Mapping not available"
chr11:11931183-<b>?</b>,"3 x 10-6",,NR,'-,"0.00071 unit decrease",[0.00041-0.00101],'-,"Microscopic colitis","microscopic colitis",'-,GCST009081,"Mapping not available"
chr11:105858586-<b>?</b>,"2 x 10-6",,NR,'-,"0.00055 unit decrease",[0.00032-0.00078],'-,"Microscopic colitis","microscopic colitis",'-,GCST009081,"Mapping not available"
chr13:54703907-<b>?</b>,"3 x 10-7",,NR,'-,"0.00107 unit decrease",[0.00066-0.00148],'-,"Microscopic colitis","microscopic colitis",'-,GCST009081,"Mapping not available"
chr14:41804188-<b>?</b>,"6 x 10-6",,NR,'-,"0.0003 unit decrease",[0.00017-0.00043],'-,"Microscopic colitis","microscopic colitis",'-,GCST009081,"Mapping not available"
chr15:64768700-<b>?</b>,"3 x 10-7",,NR,'-,"0.00102 unit decrease",[0.00063-0.00141],'-,"Microscopic colitis","microscopic colitis",'-,GCST009081,"Mapping not available"
chr16:26117039-<b>?</b>,"1 x 10-6",,NR,'-,"0.00048 unit decrease",[0.00029-0.00067],'-,"Microscopic colitis","microscopic colitis",'-,GCST009081,"Mapping not available"
chr17:6571439-<b>?</b>,"6 x 10-7",,NR,'-,"0.00088 unit decrease",[0.00054-0.00122],'-,"Microscopic colitis","microscopic colitis",'-,GCST009081,"Mapping not available"
rs2129979-<b>G</b>,"2 x 10-23",,0.31,1.12,'-,1.09-1.14,"LINC01438, MIR297",Appendicitis,appendicitis,'-,GCST007595,4:110799841
rs9953918-<b>?</b>,"4 x 10-8",,NR,0.99,'-,0.98-1.00,NEDD4L,"Acute appendicitis",appendicitis,'-,GCST90013428,18:58338413
rs12122337-<b>G</b>,"1 x 10-6","(CDC Perianal)",0.06,2.2,'-,[1.56-3.07],"CFAP45, TAGLN2","Crohn's disease-related phenotypes","perianal Crohn's disease, complicated disease course",'-,GCST002729,1:159916632
rs34920465-<b>?</b>,"3 x 10-13","(subset analysis)",NR,'-,'-,'-,"PPIAP34, ZBTB40","Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,1:22373858
rs2816958-<b>?</b>,"4 x 10-15","(subset analysis)",NR,'-,'-,'-,NR5A2,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,1:200132792
rs12131796-<b>?</b>,"5 x 10-41","(subset analysis)",NR,'-,'-,'-,INAVA,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,1:200909599
rs3024493-<b>?</b>,"1 x 10-38","(subset analysis)",NR,'-,'-,'-,IL10,"Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)","ankylosing spondylitis, psoriasis, ulcerative colitis, Crohn's disease, sclerosing cholangitis",'-,GCST005537,1:206770623
